metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2000,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2000,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,16000,2621,1123,334,1277,7084,618,3247,7829,6362,805,2261,764,1310,961
DE2,14554,.,2791,802,336,1178,5668,404,2988,6873,2157,353,2886,794,1301,1834
DE3,2686,3296,.,19357,258,979,1696,1282,2685,3600,701,129,1190,708,1245,482
DE4,2517,2615,10937,.,167,594,932,1481,2334,2658,618,64,1992,1042,770,431
DE5,395,387,388,59,.,518,331,120,7517,839,116,20,80,58,311,49
DE6,986,1207,1198,183,355,.,812,738,6124,1849,254,48,208,161,11509,78
DE7,7314,6963,1947,551,284,1150,.,289,3849,7799,6832,403,970,483,1233,1391
DE8,1118,1068,1845,1285,261,2479,538,.,2702,1690,359,45,641,390,3453,272
DE9,7623,9762,3959,2507,6007,6643,7189,2192,.,24700,3210,624,3792,4281,5399,2466
DEA,8799,9167,5359,1614,852,2703,8452,911,15097,.,8623,675,1749,1147,3028,1014
DEB,6202,2746,802,307,101,369,6087,152,1408,7765,.,1725,431,272,524,315
DEC,1040,530,192,56,27,69,564,36,237,902,1899,.,61,34,63,41
DED,5838,8491,1908,1785,151,438,2327,669,1953,3647,1126,130,.,1680,520,1748
DEE,2778,3287,1433,1227,195,375,1423,620,5602,3147,770,73,2494,.,523,1410
DEF,1596,1351,1117,371,358,8968,987,1849,4218,2470,503,72,306,233,.,116
DEG,2433,4405,802,445,73,188,2650,314,1543,2091,690,66,2137,1087,242,.
