metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2009,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2009,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,17179,3841,1081,430,1484,7746,620,3644,8624,6698,747,2271,961,1457,1187
DE2,15511,.,3992,1191,389,1535,6538,578,3399,7652,2294,452,3509,1134,1518,2314
DE3,2609,3200,.,13700,363,1405,1763,1403,2522,3902,665,138,1584,1001,1261,637
DE4,1289,1497,12490,.,141,593,764,1813,1476,1634,345,62,2508,1217,783,532
DE5,386,394,526,120,.,728,305,144,6398,1066,124,20,134,96,438,64
DE6,1115,1257,1666,365,500,.,896,1025,6207,2155,273,59,320,226,11133,153
DE7,7614,7116,2468,569,363,1254,.,390,4076,8813,7157,468,1235,621,1274,1575
DE8,712,731,2283,1418,262,2328,450,.,1928,1344,211,31,821,466,2549,367
DE9,4231,4374,3690,1277,6753,7004,4432,1522,.,15791,1574,244,1434,2743,4781,1143
DEA,9422,9335,6034,1600,1311,3586,9133,1156,16054,.,8408,683,2077,1294,3682,1197
DEB,7151,2837,1063,352,144,416,7684,221,1444,8740,.,2145,593,283,616,293
DEC,1075,570,254,65,31,82,615,40,259,923,2243,.,129,66,72,66
DED,3175,4864,2773,2069,175,585,1717,840,1781,2598,662,87,.,2446,587,2420
DEE,1398,1712,1889,1278,162,493,1026,674,3934,1993,388,57,3355,.,566,1565
DEF,1372,1383,1368,559,467,9610,984,1911,4412,2793,456,62,456,348,.,223
DEG,1678,3352,1093,504,107,293,2379,361,1465,1711,456,82,2924,1348,357,.
