metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2014,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2014,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18282,3640,958,410,1554,8566,642,3734,8963,7827,866,2392,902,1463,1206
DE2,17361,.,4116,1177,346,1699,6871,678,3667,8104,2507,467,3682,1055,1534,2393
DE3,2843,3304,.,15049,342,1438,1816,1578,2650,3989,728,169,2043,1126,1212,685
DE4,928,1049,9802,.,88,352,540,1722,1198,1233,302,52,2325,1159,536,457
DE5,447,449,508,78,.,668,347,150,7064,1157,167,31,179,82,419,79
DE6,1301,1402,1669,344,526,.,963,1029,6588,2417,388,60,383,236,12096,169
DE7,8403,7443,2571,591,333,1278,.,444,4521,9081,8135,458,1452,706,1360,1618
DE8,537,652,1564,1440,128,1518,346,.,1487,1028,208,28,800,489,2050,320
DE9,4269,4519,3453,1202,6290,6327,4335,1538,.,16595,1701,287,1766,2795,4802,1314
DEA,9525,9631,5697,1455,1297,3461,9813,1226,17281,.,8862,843,2418,1359,3562,1237
DEB,7766,2747,1087,341,162,485,7633,227,1620,8852,.,2293,612,336,566,349
DEC,1103,555,264,48,26,90,592,38,238,949,2531,.,111,43,84,64
DED,2200,3440,2282,1959,164,484,1290,853,1533,2149,584,85,.,2495,515,2372
DEE,989,1150,1517,1209,100,361,693,649,3089,1477,313,53,3518,.,425,1410
DEF,1350,1250,1304,544,472,9501,1008,2076,4691,2826,479,66,510,389,.,250
DEG,1257,2737,1036,502,86,285,1783,370,1366,1392,363,58,3290,1429,284,.
