metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2016,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2016,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,19180,4051,1020,449,1576,8872,688,3972,9698,8281,848,2408,921,1664,1224
DE2,17954,.,4661,1212,496,1844,7319,707,3932,9731,2629,484,3730,1086,1694,2347
DE3,2766,3259,.,15960,370,1380,1781,1577,2525,3983,738,125,1903,1147,1242,652
DE4,851,979,9809,.,124,371,485,1779,1269,1852,340,45,2277,1252,550,421
DE5,449,474,574,101,.,703,333,162,7208,1136,131,27,133,103,462,65
DE6,1265,1504,1867,341,557,.,992,1059,6919,2579,362,51,377,238,12319,175
DE7,8566,7779,2764,645,404,1380,.,508,4657,9782,8316,453,1472,676,1377,1595
DE8,599,612,1670,1495,278,1152,404,.,1677,2390,244,53,786,495,1979,294
DE9,4379,4444,3501,1291,6897,6908,4330,1580,.,16793,1693,275,1721,2896,4865,1265
DEA,9708,9750,6119,1562,1392,3612,9629,1337,17705,.,9420,826,2271,1342,3606,1370
DEB,8009,2819,1113,337,173,495,7978,218,1616,9118,.,2274,583,279,601,342
DEC,1112,606,254,53,41,103,663,49,297,1247,2789,.,87,62,126,45
DED,2132,3291,2495,2098,192,499,1270,821,1576,2620,555,112,.,2744,559,2320
DEE,970,1223,1521,1335,153,334,693,662,3295,2232,329,48,3397,.,478,1443
DEF,1402,1490,1401,551,554,10147,1015,2133,4769,3041,493,95,548,395,.,291
DEG,1276,2573,1045,507,132,294,1837,410,1533,1939,431,72,3298,1450,318,.
