metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2015,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2015,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18605,3263,967,408,1687,8559,694,3694,8996,7793,843,2348,871,1493,1129
DE2,17916,.,3853,1198,398,1808,6925,693,3806,8390,2481,412,3640,992,1656,2309
DE3,2772,3180,.,15285,329,1410,1830,1551,2577,4067,708,145,1983,1225,1226,680
DE4,890,1074,8678,.,66,373,534,1618,1150,1191,234,46,2271,1239,530,429
DE5,454,384,472,101,.,699,312,131,6939,1138,154,26,147,115,412,94
DE6,1311,1449,1471,407,481,.,915,1082,6603,2470,296,67,364,222,12247,177
DE7,8350,7485,2303,628,332,1355,.,450,4522,9651,7958,450,1410,675,1329,1636
DE8,577,571,1524,1394,138,1560,364,.,1655,1218,192,23,819,442,2027,289
DE9,4251,4434,3168,1147,5767,6744,4324,1539,.,16504,1600,259,1739,2846,4717,1201
DEA,9832,9223,5090,1499,1157,3631,9680,1271,17861,.,9026,817,2296,1452,3551,1292
DEB,7876,2794,960,321,141,496,7792,256,1579,9172,.,2359,573,297,595,344
DEC,1153,534,228,64,26,98,621,43,279,1093,2595,.,104,44,87,60
DED,2030,3295,2201,2001,112,523,1210,850,1487,2133,553,91,.,2485,568,2293
DEE,964,1083,1292,1333,106,352,706,624,3104,1597,331,39,3486,.,426,1470
DEF,1321,1396,1149,580,397,9898,1011,2012,4607,2836,413,89,546,426,.,282
DEG,1313,2632,967,488,80,262,1759,369,1351,1455,405,56,3245,1381,301,.
