metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2018,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2018,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,19193,3237,931,392,1612,8652,660,3677,9065,8052,856,2355,832,1651,1040
DE2,17337,.,3884,1072,332,1817,6758,713,3768,8214,2514,427,3637,1095,1529,2279
DE3,2778,3104,.,16410,336,1378,1726,1638,2601,3846,745,142,1921,1125,1252,694
DE4,815,906,8106,.,103,311,481,1857,1111,1235,266,30,2327,1228,568,451
DE5,402,474,402,80,.,649,330,113,7243,1116,128,27,140,90,419,62
DE6,1284,1419,1589,324,500,.,925,981,6626,2413,344,66,426,227,11661,168
DE7,8244,7636,2327,640,316,1355,.,465,4220,9090,8061,456,1364,578,1309,1464
DE8,573,616,1273,1346,137,946,365,.,1418,1080,212,40,805,474,1875,294
DE9,4295,4578,3194,1182,5905,6477,4518,1631,.,15987,1690,346,1683,2606,4723,1246
DEA,9171,9161,5068,1390,1136,3383,9193,1156,16860,.,9148,747,2096,1206,3497,1155
DEB,7739,2764,942,291,142,472,7622,259,1531,8627,.,2223,598,269,546,332
DEC,981,584,225,45,26,88,557,35,267,923,2587,.,100,46,90,47
DED,1955,2971,2025,1985,146,523,1261,824,1399,2059,497,125,.,2841,488,2518
DEE,803,1002,1171,1131,109,303,687,596,2678,1504,269,53,3134,.,377,1443
DEF,1304,1413,1074,508,464,8884,986,2023,4496,2728,463,77,528,362,.,261
DEG,1142,2465,867,467,108,249,1572,410,1329,1458,375,51,3093,1308,292,.
