metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2008,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2008,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,17620,3528,1007,324,1583,7837,570,3442,8069,6755,778,2263,871,1374,1159
DE2,15807,.,3898,1096,324,1593,6589,550,3424,7928,2350,422,3583,1007,1506,2197
DE3,2766,3305,.,14074,320,1484,1802,1348,2467,4048,655,180,1518,868,1318,573
DE4,1604,1812,12293,.,142,721,810,1704,1577,1853,399,56,2443,1147,873,547
DE5,461,481,481,100,.,762,369,132,6599,1103,125,40,129,88,414,68
DE6,1128,1319,1565,304,491,.,901,1039,5855,2142,269,64,290,219,10781,125
DE7,7943,7734,2339,589,327,1286,.,353,4065,8787,7105,450,1250,573,1237,1611
DE8,912,892,2251,1432,269,2797,542,.,2248,1395,257,36,800,452,2915,313
DE9,4881,4632,3419,1234,6611,6959,4606,1414,.,15964,1634,247,1465,2641,4695,1166
DEA,10197,10180,5705,1490,1160,3698,9718,1108,15965,.,8213,786,2059,1240,3664,1210
DEB,7172,3069,1046,314,155,482,7623,193,1488,8894,.,2297,562,254,568,355
DEC,1060,666,234,41,47,97,574,41,241,918,2222,.,107,59,96,71
DED,3693,5821,2733,2103,176,698,1836,788,1606,3004,780,113,.,2244,640,2376
DEE,1733,2091,1884,1361,150,661,1218,696,4283,2212,421,66,3327,.,592,1591
DEF,1411,1497,1377,544,469,9534,1027,1933,4232,2918,438,86,394,328,.,201
DEG,2014,4017,1110,523,120,359,2495,411,1485,1790,526,77,2874,1174,321,.
