metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2010,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2010,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,17328,3633,1109,415,1589,7944,629,3526,8561,6882,913,2236,913,1424,1180
DE2,16104,.,4120,1121,352,1590,6459,633,3477,7969,2367,440,3553,1105,1445,2346
DE3,2609,3069,.,13077,362,1471,1705,1446,2414,3869,688,149,1600,950,1264,680
DE4,1108,1287,12114,.,119,565,649,1763,1341,1513,370,55,2422,1175,708,529
DE5,396,378,600,99,.,767,367,144,6192,1100,139,28,150,106,497,68
DE6,1070,1254,1725,331,554,.,875,1111,6040,2196,315,44,346,200,11414,178
DE7,7504,6888,2547,595,387,1375,.,372,4037,8707,7190,454,1199,670,1237,1578
DE8,649,683,2134,1448,187,1988,401,.,1720,1126,223,34,714,450,2501,287
DE9,3958,4021,3420,1128,6583,6599,4217,1486,.,15514,1643,273,1467,2705,4772,1197
DEA,9242,9201,5741,1456,1209,3582,9044,1054,15603,.,8385,748,2098,1387,3750,1176
DEB,7041,2689,1120,349,146,432,7406,188,1486,8957,.,2271,547,300,499,333
DEC,1052,551,259,69,25,96,546,35,239,908,2409,.,131,46,99,58
DED,2770,4313,2808,2078,176,540,1583,827,1615,2455,621,106,.,2459,567,2402
DEE,1119,1557,1732,1321,123,510,945,649,3554,1740,375,67,3358,.,493,1586
DEF,1293,1376,1423,536,513,9796,1024,1976,4267,2806,462,69,480,354,.,211
DEG,1529,3165,1138,526,92,291,2117,344,1408,1575,455,52,2919,1355,304,.
