Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2005,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,15888,2809,975,321,1252,6997,522,3105,8098,6695,752,2186,797,1358,1052
DE2,14429,.,2987,1063,327,1263,5948,542,3099,7169,2408,413,3339,1060,1274,1933
DE3,2923,3466,.,16201,267,1345,1880,1327,2575,3904,846,146,1400,915,1257,545
DE4,1915,1986,11411,.,161,730,975,1659,1818,2318,534,92,2326,1294,809,498
DE5,422,366,345,87,.,562,331,131,6384,941,125,30,138,79,347,44
DE6,1072,1261,1292,302,437,.,804,882,5937,2070,280,42,270,176,11198,114
DE7,7330,6826,1938,563,273,1116,.,354,3730,8323,8220,391,1152,581,1175,1497
DE8,866,745,1897,1323,266,2326,515,.,2094,1456,285,35,712,485,2950,267
DE9,6339,6716,3573,1795,6685,6240,5365,1703,.,18871,2237,475,2166,3188,5011,1373
DEA,8760,8832,4309,1339,1058,2754,8327,989,14096,.,8361,708,1885,1303,3029,1042
DEB,6022,2400,737,298,121,390,6369,189,1222,8349,.,1781,515,287,489,252
DEC,931,527,186,48,39,81,485,47,214,881,1966,.,102,58,86,53
DED,3876,6050,2043,1750,161,498,1908,730,1791,2922,904,112,.,2131,531,2007
DEE,1813,2010,1502,1239,159,531,1137,600,4375,2452,527,61,2991,.,496,1376
DEF,1405,1381,1071,492,414,9366,941,2044,4074,2759,470,75,352,330,.,184
DEG,2035,3820,843,463,92,228,2645,350,1428,1932,626,66,2781,1286,310,.
