Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2007,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,17995,3139,991,335,1590,7623,568,3400,8129,6471,714,2216,818,1375,1002
DE2,15261,.,3562,1024,338,1450,6432,541,3272,7423,2375,394,3286,1047,1506,2174
DE3,2816,3415,.,14453,347,1440,1834,1323,2544,4111,714,135,1443,858,1196,524
DE4,1748,1879,12314,.,167,755,927,1693,1711,1976,420,70,2354,1098,848,510
DE5,449,432,439,84,.,716,294,129,6303,1024,122,26,120,79,416,63
DE6,1047,1307,1424,337,410,.,886,987,5613,2113,292,44,272,166,10474,133
DE7,7565,7773,2189,550,308,1243,.,368,3884,8428,7145,435,1211,580,1265,1517
DE8,836,836,2199,1454,269,2729,546,.,2083,1446,259,35,792,504,2908,277
DE9,4487,4806,3342,1283,6342,6384,4391,1428,.,15897,1614,329,1410,2739,4845,1016
DEA,9464,9912,5184,1562,1077,3438,9012,975,15371,.,8309,678,2080,1250,3494,1044
DEB,6736,2931,970,318,132,477,6888,225,1416,8380,.,2015,600,247,553,340
DEC,992,592,213,50,35,98,579,40,245,912,2046,.,138,29,85,64
DED,3788,6033,2461,1960,168,663,1875,831,1709,2805,810,125,.,2162,628,2125
DEE,1807,2118,1761,1301,167,799,1115,694,4374,2277,490,81,3199,.,558,1503
DEF,1360,1441,1192,527,461,8976,1054,1907,4000,2773,499,69,419,322,.,189
DEG,2118,3927,1048,526,96,489,2534,364,1477,1721,562,84,2868,1174,318,.
