metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2004,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2004,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,14723,2597,976,361,1245,6845,521,3210,7822,6196,746,2237,861,1369,1031
DE2,14479,.,3047,1140,322,1335,5731,485,3149,7357,2205,419,3487,1094,1217,2072
DE3,2908,3316,.,16958,340,1336,1836,1367,2811,4150,780,198,1445,863,1443,566
DE4,2118,2066,11689,.,184,799,1003,1621,2195,2403,601,85,1974,1159,908,467
DE5,386,336,308,76,.,551,317,136,6696,983,117,29,99,79,353,49
DE6,1064,1089,1233,260,408,.,797,1000,6175,2078,286,62,259,184,11845,76
DE7,7220,6160,1783,571,339,1193,.,347,4000,8218,7018,398,1082,543,1136,1515
DE8,966,859,1809,1218,290,2717,519,.,2424,1538,308,38,646,422,3237,255
DE9,7269,7899,3388,2293,6527,6476,6073,2123,.,21194,2830,604,3181,3872,5166,1994
DEA,8471,8191,4204,1267,1074,2900,8080,1001,14726,.,8183,659,1892,1132,3284,1014
DEB,6163,2304,767,283,158,365,6270,190,1339,7953,.,1759,513,263,517,321
DEC,874,473,156,47,61,71,458,40,221,812,1846,.,86,41,89,51
DED,4415,6043,1855,1812,154,542,2030,738,1868,3156,908,159,.,1985,571,2019
DEE,1982,2228,1409,1120,206,488,1133,614,5053,2590,581,76,2762,.,540,1352
DEF,1387,1338,1141,506,439,9629,990,1940,4107,2711,529,89,350,265,.,171
DEG,2106,3811,786,460,102,262,2585,336,1546,1921,521,86,2447,1226,327,.
