,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,.,5,10,.,4,.,.,4,5,0,.,.,0,12,16,56,9,18,0,91,13,9,8,27,21,5,5,.,6,5,13,0,0,4,.,6,.,3,.,0,0,.,0,0,0,.,0,.,12,.,3,0,.,.,.,0,.,.,4,0,0,0,.
27,.,4,.,0,.,.,.,7,12,.,.,5,0,9,7,10,17,49,17,24,347,3,18,5,9,7,0,3,.,8,3,0,3,3,.,8,.,.,0,0,0,.,0,0,.,.,0,5,5,.,5,.,.,4,0,.,.,8,9,.,4,.,.
28,0,.,.,.,0,0,.,0,0,0,0,.,0,.,.,3,0,.,0,5,4,5,.,.,3,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,.,0,0,0,.,0,0,0,0,0
29,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,0,.,6,.,4,11,.,54,.,3,.,.,0,0,6,.,0,0,0,.,0,.,0,.,0,0,0,0,0,.,0,0,.,.,0,.,0,.,3,0,0,.,.,3,.,0,.,0
30,12,30,71,62,34,31,16,26,23,8,6,3,5,105,59,180,24,20,6,30,21,11,9,658,197,40,10,14,20,108,62,10,16,13,40,37,10,5,7,0,4,3,7,.,12,17,0,26,33,8,11,4,.,28,7,.,.,35,43,8,33,0,6
31,4,12,30,18,18,12,9,15,12,4,6,7,.,22,24,62,13,19,9,39,11,6,8,182,566,33,8,19,15,40,34,9,11,10,22,30,7,3,7,.,7,0,9,3,.,6,0,6,18,9,10,3,0,5,5,0,5,16,21,.,17,0,3
32,.,6,7,4,.,3,.,.,7,.,.,0,0,.,.,8,3,6,.,4,3,0,0,22,39,183,15,14,13,16,5,3,17,5,5,8,3,0,0,0,.,.,0,0,.,.,0,.,.,0,0,0,.,3,.,.,.,4,5,0,4,0,.
33,0,0,5,0,.,.,4,.,0,.,.,0,0,7,3,8,.,7,0,3,0,0,0,14,20,38,35,13,3,4,11,.,4,.,0,.,3,.,3,.,0,0,0,0,.,0,0,0,.,0,5,.,0,4,3,0,.,3,3,0,5,0,0
34,.,.,3,3,4,9,.,0,.,.,0,0,0,0,0,.,0,.,0,.,.,0,0,5,17,16,8,154,15,8,5,4,3,0,.,.,.,0,4,6,0,0,.,0,0,0,0,.,0,0,0,0,0,.,.,0,0,.,5,0,4,.,.
35,0,.,6,.,.,.,.,6,0,0,.,.,.,3,4,6,4,4,0,9,13,3,3,17,21,25,.,14,166,4,4,0,4,.,3,3,0,0,0,0,.,0,.,.,0,.,0,.,3,0,.,0,0,3,0,0,.,8,.,0,4,.,4
40,6,23,104,212,74,54,35,12,68,7,6,0,8,31,24,31,21,18,3,6,7,0,4,78,48,25,6,8,4,1056,417,31,38,21,94,63,25,14,16,0,.,8,15,20,10,4,3,23,34,7,21,5,3,10,6,5,.,47,31,.,17,4,3
41,5,17,33,53,28,23,14,11,4,4,7,4,0,26,13,18,4,4,5,5,8,0,.,35,63,19,4,4,.,344,852,32,104,64,42,41,7,15,9,0,0,.,9,3,6,6,0,23,15,5,10,3,7,8,5,0,.,21,7,5,22,0,14
42,.,.,24,8,8,8,7,0,.,0,0,0,0,3,.,4,.,6,.,3,.,0,0,14,15,19,.,.,4,21,31,103,55,6,.,4,.,.,3,0,0,0,10,0,4,.,0,.,4,0,.,.,0,.,0,.,0,.,.,0,.,0,0
43,7,.,61,17,28,9,6,8,4,0,3,.,0,21,14,6,11,11,3,9,0,0,3,25,34,48,20,0,5,41,106,60,411,35,18,13,5,3,6,0,.,.,16,0,8,5,0,4,16,4,0,4,.,11,3,3,6,9,7,.,7,3,0
44,.,3,38,8,16,0,11,4,.,.,4,.,0,91,112,18,17,21,.,.,0,0,0,29,28,6,5,0,.,27,54,7,77,151,12,12,7,.,3,0,.,.,25,.,5,7,0,6,25,.,.,54,.,3,.,0,0,16,7,0,12,0,19
50,5,7,12,24,36,19,6,5,6,3,.,0,.,12,10,4,.,.,0,3,5,0,0,17,13,4,5,.,3,89,28,0,0,7,408,143,69,19,12,3,.,6,16,13,8,9,.,48,49,13,5,5,0,6,3,5,0,14,18,.,16,0,.
51,7,16,19,26,33,23,18,7,.,5,4,9,3,22,17,6,10,6,0,.,6,0,.,23,12,.,0,.,.,53,47,4,9,0,87,360,132,41,17,3,7,4,33,15,26,8,.,121,91,21,25,7,10,12,5,0,3,31,26,6,17,0,8
52,.,.,5,8,15,6,6,8,.,.,3,.,0,7,10,9,6,3,4,.,4,0,.,19,20,6,3,.,.,30,20,.,0,4,46,121,362,71,28,4,13,22,36,10,20,17,0,56,33,7,23,10,7,8,6,4,.,14,14,0,8,0,3
53,0,0,3,.,5,3,3,4,.,0,4,0,0,.,.,0,.,.,3,.,.,0,.,5,.,3,.,0,0,9,11,0,.,.,17,48,54,279,38,4,6,5,7,8,20,12,0,18,30,7,7,5,4,.,.,0,.,.,3,0,.,.,.
54,0,.,0,.,8,4,4,.,0,0,0,.,0,.,4,.,0,0,0,.,0,0,0,.,0,.,.,0,0,10,7,0,.,0,7,20,19,31,80,13,3,0,3,5,7,.,0,7,8,3,3,0,5,.,.,0,0,5,0,.,.,0,.
55,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,.,0,0,0,0,0,0,.,0,0,0,0,0,.,.,0,0,0,.,.,5,9,16,4,0,0,0,0,7,3,0,.,.,.,0,0,0,0,0,0,0,.,0,0,.,.,0
60,0,3,5,6,3,3,3,.,.,0,0,3,.,5,4,3,.,.,0,.,.,0,4,11,9,.,.,.,.,10,11,.,5,0,14,13,13,7,4,0,109,27,46,6,30,57,5,20,27,13,6,8,5,.,3,4,0,3,.,0,5,0,.
61,4,4,12,6,10,12,5,5,4,0,6,0,0,6,3,.,.,3,3,0,.,0,.,9,9,.,0,3,5,8,4,.,6,.,14,25,16,19,20,.,35,196,115,10,18,32,0,22,25,25,8,7,5,10,8,0,.,8,4,5,7,0,9
62,5,6,50,6,30,14,19,12,3,0,5,5,7,22,8,3,5,7,.,7,7,0,.,22,16,14,.,.,7,20,18,9,15,.,10,62,36,34,.,0,49,87,544,34,95,93,.,40,99,15,30,6,23,11,9,.,3,15,11,7,22,.,0
