metadata keys,type,year,Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata values,movement-year,2011,Metadaten (Werte),Wanderungsdaten,Ortsteile,Jahr,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,60,61,62,63,64,65,66,70,71,72,73,74,75,80,81,82,83,90,91,92,93,94,95
0,24,7,12,19,19,12,13,.,0,0,0,.,.,9,.,3,0,0,0,0,0,.,0,16,4,0,0,.,0,8,9,.,.,0,8,9,4,0,0,0,.,.,.,.,0,0,0,0,4,.,.,.,0,3,0,0,0,13,6,.,3,0,0
1,7,47,21,29,27,20,32,14,5,.,5,.,0,27,6,22,5,3,0,0,4,0,.,45,8,0,3,.,.,30,8,0,.,.,6,18,5,0,.,0,.,0,.,0,.,.,.,4,9,.,3,.,0,3,.,0,.,14,10,0,9,5,.
2,15,25,405,85,63,28,46,11,13,.,7,0,.,58,15,48,8,17,0,3,.,0,0,158,40,5,3,4,3,137,53,12,15,8,27,32,8,8,0,.,.,.,11,.,8,.,3,19,27,5,3,3,0,10,4,.,.,23,22,6,25,0,.
3,8,28,76,213,67,38,23,13,6,.,6,7,0,26,7,18,3,.,0,3,8,.,.,62,19,.,.,0,5,280,86,5,13,8,59,48,14,.,0,0,.,.,7,.,3,0,0,27,17,5,5,.,.,.,3,0,6,36,15,8,14,0,0
4,18,22,30,88,277,105,37,11,4,.,6,.,0,26,5,8,9,13,.,4,10,4,.,47,18,.,0,3,4,78,29,.,.,.,50,56,10,8,5,.,5,.,9,3,4,4,0,24,40,.,15,4,0,14,5,0,.,52,23,.,12,0,.
5,7,15,26,36,88,264,34,12,4,.,7,0,0,10,19,.,6,.,0,.,0,3,0,39,9,.,3,4,.,83,17,.,3,5,38,38,8,3,3,0,0,0,3,0,4,0,0,16,29,4,30,19,6,8,10,.,.,88,28,5,24,5,4
6,8,11,27,33,41,32,116,9,4,10,3,4,0,28,18,6,4,6,0,0,.,0,.,37,7,.,0,.,0,30,7,.,7,.,16,27,12,.,6,0,.,.,8,.,11,3,.,13,12,.,11,.,0,24,5,5,.,94,49,8,31,5,4
10,4,7,17,3,13,4,5,486,118,27,62,25,4,43,74,23,33,45,11,5,18,5,6,38,20,9,6,0,3,19,10,3,8,7,15,12,15,5,0,0,6,7,4,0,6,3,.,7,10,8,9,.,.,20,3,.,6,25,27,19,38,.,9
11,0,3,7,.,4,5,.,84,150,19,19,17,3,20,16,5,28,23,8,.,7,0,11,18,8,.,.,0,3,9,9,4,5,.,3,5,6,4,3,0,6,.,.,0,0,.,.,0,7,4,6,.,0,3,.,.,5,9,4,4,16,0,13
12,0,0,.,.,4,6,3,40,5,100,108,11,3,.,9,6,4,4,0,0,5,0,.,18,4,4,3,0,0,3,3,0,.,0,.,3,.,.,0,0,3,.,.,0,.,3,0,.,.,4,0,.,0,4,5,0,11,17,10,11,9,4,.
13,0,6,4,7,8,9,8,40,6,67,263,34,9,16,15,.,.,19,.,3,11,.,3,14,8,.,.,5,0,8,5,3,6,.,3,6,4,.,.,0,.,.,10,0,5,.,0,3,11,3,6,4,0,24,4,0,6,7,20,18,20,.,3
14,0,3,.,0,6,4,0,30,.,15,25,108,13,5,0,.,3,7,.,0,.,4,0,8,.,.,.,.,.,.,3,.,3,.,.,.,0,0,0,0,0,.,.,0,.,6,0,0,.,.,4,.,0,.,.,0,.,6,3,.,5,9,3
15,0,0,.,0,.,.,0,3,0,.,11,14,24,.,.,.,3,.,0,0,0,0,0,.,6,.,0,0,0,.,.,0,.,0,.,.,0,.,0,0,.,0,.,0,0,0,0,.,.,0,0,0,0,.,0,.,0,3,.,0,.,12,.
20,7,24,41,26,28,18,25,95,16,8,11,5,.,343,172,65,30,30,.,8,15,0,.,124,31,6,5,.,.,34,25,4,11,4,18,16,.,.,0,0,.,6,9,5,6,11,0,24,35,4,8,4,.,16,3,3,.,28,17,4,31,.,5
21,5,6,25,10,16,8,21,62,32,11,8,8,5,147,245,77,52,29,6,.,9,0,.,53,32,3,0,0,0,25,23,4,8,0,5,10,5,4,.,0,4,4,14,0,4,.,5,12,34,.,17,11,.,10,7,0,.,23,15,3,24,0,3
22,.,18,27,19,12,16,9,44,14,6,5,12,0,53,60,326,33,31,3,25,7,0,.,161,56,6,.,6,.,26,12,0,9,5,18,22,5,.,0,0,.,.,13,0,7,6,0,12,30,.,7,7,0,11,6,0,3,23,11,10,30,3,5
23,.,4,5,6,0,5,7,30,13,6,9,5,7,25,36,23,193,55,13,8,22,4,4,39,20,3,.,.,7,16,5,4,5,.,.,5,3,.,0,0,.,3,11,0,7,.,0,4,10,3,4,3,0,11,8,0,3,14,10,3,8,0,4
24,0,4,9,9,6,4,9,40,40,12,26,12,0,27,56,25,85,516,68,6,39,3,3,42,32,3,7,6,4,18,11,.,.,4,4,11,7,10,.,0,5,7,12,.,16,6,0,8,17,3,12,5,.,10,10,.,3,28,8,9,17,.,.
25,0,.,.,.,3,5,.,5,5,4,.,.,0,4,.,3,11,50,56,.,16,0,.,6,3,3,0,0,0,.,.,0,4,.,3,5,0,0,0,0,0,.,0,0,.,0,.,0,.,4,0,.,.,.,0,0,4,6,.,3,.,.,0
26,0,0,3,.,4,3,.,8,.,3,.,.,0,6,7,13,4,13,3,64,5,11,3,15,35,.,.,4,8,9,3,.,3,.,3,.,.,.,0,0,0,3,.,0,0,0,0,.,3,0,0,.,.,.,.,0,.,.,.,0,3,.,3
27,0,.,7,3,.,.,.,15,10,8,.,.,.,.,3,18,20,32,11,3,242,7,20,19,9,.,4,10,4,6,4,.,0,.,3,.,.,0,.,.,0,0,.,0,5,0,0,.,4,.,4,.,0,5,.,.,.,5,3,.,6,.,0
28,0,0,.,0,0,.,.,.,.,0,0,.,0,.,3,.,5,3,0,.,8,11,.,.,4,0,.,0,0,0,4,.,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,.,0,.,0,0,0,0,.,0,.,0,0,0,0,0
29,0,0,.,0,0,0,0,4,0,0,.,.,0,.,.,.,.,5,.,0,17,0,13,4,.,.,0,9,6,4,0,0,0,0,.,5,0,0,.,0,0,0,0,0,0,0,0,3,.,0,0,0,0,0,0,0,0,4,4,.,3,0,0
30,7,29,69,63,40,28,33,48,16,8,18,7,0,99,45,210,19,24,5,8,20,.,9,662,178,24,16,8,27,135,61,11,20,14,68,53,17,6,.,0,.,4,.,.,.,8,.,22,43,6,18,4,3,18,3,0,12,55,21,13,24,.,6
31,3,9,38,31,14,12,10,23,12,7,11,6,.,35,22,42,27,30,3,36,7,12,.,189,576,41,26,11,37,54,40,24,21,12,14,20,7,7,.,0,0,0,5,5,9,5,.,7,13,.,8,.,.,11,5,0,7,19,22,5,13,4,.
32,.,6,0,4,6,3,.,3,.,6,0,3,0,6,5,5,3,3,.,6,5,0,.,12,40,120,14,20,20,10,.,3,7,.,6,3,0,.,0,0,0,.,0,0,.,0,0,.,.,.,.,0,0,3,.,0,0,3,0,.,3,0,.
33,0,.,3,4,3,.,0,4,.,.,0,.,0,6,6,.,.,3,0,0,4,0,0,12,24,29,20,9,15,6,10,.,8,.,.,5,.,3,.,0,5,3,4,0,.,3,0,.,4,3,3,0,0,5,.,0,0,4,.,3,.,0,0
34,.,.,12,.,.,3,.,.,0,0,3,0,0,4,.,4,.,4,0,0,0,0,.,9,12,20,16,126,19,.,4,0,6,.,0,.,.,.,0,0,0,0,.,0,.,.,0,.,0,0,0,0,0,0,0,0,.,3,0,.,0,0,.
35,.,.,5,3,4,.,.,5,4,.,3,0,0,.,.,4,.,4,0,10,7,9,.,17,31,15,8,16,114,8,.,.,5,.,.,3,0,0,0,0,.,0,.,0,0,0,0,0,.,.,.,0,0,0,0,0,0,.,4,.,.,0,0
40,5,27,69,221,92,45,35,8,9,5,15,0,.,28,16,19,8,12,5,6,9,6,0,119,70,11,8,6,13,1060,403,32,34,23,94,131,27,14,24,0,.,4,5,.,11,.,.,66,44,12,13,10,4,16,5,.,5,44,25,3,37,.,17
41,3,19,31,79,28,16,13,17,4,5,4,3,3,21,12,10,7,.,7,.,6,.,0,73,54,14,7,.,6,293,833,39,66,49,42,52,21,12,6,0,5,6,6,5,10,5,.,46,30,13,8,10,.,15,6,6,3,26,22,5,15,.,4
42,0,5,21,8,4,.,6,3,5,0,.,.,0,7,3,.,0,3,0,0,.,0,0,23,20,.,.,.,4,22,26,98,55,12,3,9,0,.,3,0,0,0,.,0,.,5,0,4,7,0,4,.,0,0,.,0,3,10,.,.,5,0,0
43,.,3,90,20,10,.,11,6,4,0,.,.,0,22,11,15,10,7,0,0,3,0,.,31,26,6,8,8,6,40,52,70,387,53,5,7,9,.,0,.,0,4,5,0,.,6,3,3,8,3,.,3,0,8,0,0,7,13,10,4,6,.,.
44,.,.,7,4,3,4,.,.,.,.,.,0,0,.,0,.,0,.,.,.,.,0,.,9,11,4,4,0,.,12,29,9,46,100,0,.,4,.,0,0,.,0,0,.,0,3,0,.,4,.,.,4,.,.,0,0,0,3,5,.,3,0,.
50,3,9,19,41,44,37,18,8,4,.,3,0,0,10,7,4,4,0,.,0,3,0,0,39,16,0,.,5,9,83,36,5,5,11,404,186,109,15,18,4,.,5,3,6,4,4,.,58,55,10,10,15,.,3,0,3,3,33,9,.,8,0,.
51,.,9,30,24,25,22,8,12,6,3,.,0,.,16,8,10,7,7,5,.,0,.,0,52,12,3,7,6,7,59,48,7,6,6,125,378,114,38,10,.,11,6,23,3,19,11,0,109,104,24,32,11,10,16,.,.,18,33,21,4,14,0,.
52,0,.,6,7,8,9,6,18,3,6,8,.,0,13,5,18,9,4,0,0,.,0,3,14,7,10,.,.,.,34,7,0,7,7,38,110,299,72,11,0,8,23,33,17,36,19,.,40,58,19,19,6,5,13,0,.,.,10,15,3,8,0,0
53,0,5,.,7,3,7,.,4,.,.,0,.,0,.,3,.,0,3,0,.,.,0,0,5,4,3,.,.,0,10,11,.,.,7,13,22,66,218,25,4,.,11,19,8,18,23,0,7,14,14,5,7,0,.,0,.,0,5,3,5,6,3,.
54,4,.,.,4,.,3,.,5,0,0,.,.,0,3,.,.,0,.,0,0,.,0,0,.,.,0,0,0,.,6,8,.,.,6,9,38,14,18,65,9,0,.,5,0,16,.,.,.,7,.,6,.,0,.,.,0,0,.,.,0,3,0,0
55,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,0,0,0,0,.,.,0,0,.,0,.,.,3,17,3,0,.,0,0,.,0,0,.,0,.,0,0,0,0,0,0,0,3,.,0,0,0,0
60,.,.,6,.,3,3,4,7,3,.,4,0,0,6,4,3,6,.,0,0,.,0,0,5,.,0,0,0,0,.,.,0,4,0,4,7,10,.,.,.,107,24,35,14,31,38,.,7,18,8,6,5,4,5,4,.,0,10,11,4,.,3,0
61,0,0,22,4,10,.,9,3,3,3,0,.,0,6,3,.,.,.,0,0,3,0,.,8,4,0,0,0,0,3,3,.,10,.,6,7,16,4,4,0,20,127,44,7,17,26,0,8,11,16,6,8,0,6,.,.,4,13,3,4,3,.,0
62,3,6,39,10,10,.,4,12,3,.,13,.,0,7,8,13,7,12,7,.,0,0,3,19,12,.,.,.,.,12,13,3,.,.,7,25,28,24,.,0,27,56,320,33,59,67,8,7,36,34,7,9,4,7,5,0,4,11,11,.,5,0,3
63,0,0,0,.,.,4,3,.,0,0,0,0,0,.,0,3,.,.,0,0,0,0,0,.,.,0,0,0,0,.,3,0,0,0,.,3,10,.,0,0,4,6,13,20,11,6,.,.,4,4,4,.,5,.,0,0,.,3,.,.,0,0,0
64,.,3,8,8,10,7,4,6,6,.,16,5,0,23,10,12,3,7,.,0,5,0,0,21,9,0,.,0,3,8,6,.,8,.,12,19,39,22,5,0,24,20,80,25,351,39,4,13,19,25,12,21,.,9,5,.,6,13,8,.,8,0,.
