metadata keys,type,timeunit,time,Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata values,movement,year,2009,daten (Werte),Wanderungsdaten,Ortsteile,Jahr,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,60,61,62,63,64,65,66,70,71,72,73,74,75,80,81,82,83,90,91,92,93,94,95
0,37,12,19,17,17,17,19,.,0,0,0,0,0,8,4,0,0,0,0,0,.,0,0,8,6,0,0,0,0,11,4,0,7,0,3,3,.,.,0,0,.,0,.,0,0,.,0,.,.,.,0,0,0,.,.,0,0,15,5,0,11,0,6
1,8,41,20,15,20,16,13,3,5,0,7,0,0,28,6,8,.,4,0,0,4,.,0,37,14,.,.,0,3,19,13,.,3,.,8,14,3,0,4,0,.,0,.,0,0,.,0,6,5,.,5,3,0,8,3,.,0,19,15,4,10,.,.
2,17,30,469,74,71,36,17,23,4,.,7,4,0,65,20,26,10,5,0,0,.,.,.,173,48,8,0,3,.,142,34,6,18,6,31,29,3,4,.,0,.,3,9,0,4,.,0,6,27,.,8,.,.,12,.,.,0,43,14,.,16,0,9
3,16,24,65,241,67,43,23,8,5,.,5,0,.,16,12,16,6,3,0,3,3,0,.,40,17,7,0,0,10,275,72,.,30,16,43,38,4,3,8,0,.,7,.,0,.,4,0,22,29,6,13,4,.,6,.,.,3,29,18,3,14,.,3
4,16,18,53,84,238,108,34,8,7,0,6,.,0,31,14,14,7,12,4,4,3,0,0,39,16,5,0,3,4,77,27,4,6,0,53,34,11,4,3,0,5,3,7,0,4,.,.,25,45,13,8,5,.,11,5,.,.,43,18,7,5,.,5
5,11,12,26,33,101,334,36,7,.,.,6,4,0,21,4,3,0,.,4,8,0,0,.,26,17,.,0,0,5,69,36,.,6,.,65,27,.,5,0,0,.,.,0,.,3,.,3,22,22,.,26,7,0,9,5,3,.,60,36,4,11,.,4
6,14,10,28,27,36,40,130,9,4,8,8,.,4,25,15,21,4,7,0,.,3,0,0,29,13,.,0,0,0,39,17,3,12,5,15,22,4,9,0,0,5,.,4,.,4,7,0,6,10,6,10,4,0,13,11,.,5,79,50,13,51,0,4
10,0,10,9,17,17,21,11,526,117,28,32,22,5,38,28,17,16,30,6,3,17,.,6,37,14,.,.,.,.,18,12,.,5,9,9,12,9,.,5,0,11,.,3,3,5,.,0,8,12,3,9,4,.,15,6,3,3,40,20,12,47,11,8
11,.,5,4,9,0,5,5,119,140,.,14,20,3,15,31,4,18,14,9,0,9,0,.,19,11,.,.,.,.,16,6,0,.,.,6,5,.,4,.,0,4,.,.,.,.,4,0,4,8,.,.,5,3,6,5,0,5,7,19,10,19,0,0
12,0,0,3,.,.,3,.,35,4,95,108,18,0,6,7,5,4,11,0,0,.,3,0,5,.,.,0,0,0,.,0,0,.,0,.,7,.,.,0,0,.,.,3,0,0,0,0,6,5,3,.,.,0,7,.,0,.,16,6,12,27,8,5
13,3,5,6,.,4,4,3,37,.,65,177,30,8,9,15,12,10,16,4,3,6,0,0,14,9,3,.,0,.,10,5,.,3,.,3,13,4,0,0,0,0,.,4,.,3,3,0,3,5,3,3,3,.,11,3,.,11,12,6,9,27,13,8
14,0,0,6,.,3,5,.,20,18,12,25,111,5,3,5,0,.,3,0,0,8,0,0,8,3,.,.,0,.,.,.,.,.,0,.,.,.,.,0,0,0,5,0,0,0,.,0,0,4,0,.,4,.,4,4,0,0,4,.,3,8,4,3
15,0,.,0,.,0,.,.,.,.,4,9,20,18,.,.,0,4,5,0,0,3,0,0,4,.,0,0,0,.,.,.,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,5,0,0,.,.,0,.,.,5,.
20,3,23,40,20,21,28,21,84,13,16,11,7,0,328,169,72,32,28,.,.,12,4,.,118,30,.,3,4,.,67,18,0,10,4,26,26,8,0,0,0,5,.,7,.,9,3,.,12,29,9,11,.,0,12,7,3,5,21,20,6,38,.,5
21,4,10,25,15,23,8,19,76,24,6,11,9,0,169,326,89,57,70,6,6,8,0,7,71,31,.,6,.,.,22,22,.,8,0,5,29,9,.,.,0,0,.,8,0,3,5,0,16,26,15,12,4,0,14,10,.,5,24,19,3,24,0,4
22,.,9,29,14,18,17,14,33,10,3,4,12,.,51,91,317,28,19,4,12,19,13,.,127,52,9,.,7,5,43,27,.,8,13,16,19,6,.,0,0,6,4,10,3,8,14,.,14,20,.,15,4,0,10,.,0,.,25,17,4,10,3,0
23,0,7,6,10,5,.,5,37,15,.,5,7,0,18,47,31,165,65,13,16,8,0,3,22,16,3,3,.,0,4,10,.,.,.,6,5,.,3,0,0,.,3,3,0,0,4,0,3,7,.,7,.,.,6,3,0,.,12,4,.,11,5,.
24,.,5,16,11,7,9,8,62,26,9,17,6,7,23,31,25,88,477,39,4,49,3,7,40,37,6,3,8,3,9,8,9,11,.,3,6,5,4,5,0,4,7,13,.,18,.,6,.,16,4,13,6,.,19,8,0,7,25,12,4,16,7,5
