metadata keys,type,timeunit,time,Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata values,movement,year,2006,Metadaten (Werte),Wanderungsdaten,Ortsteile,Jahr,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,60,61,62,63,64,65,66,70,71,72,73,74,75,80,81,82,83,90,91,92,93,94,95
0,32,7,12,6,22,9,3,6,0,.,.,0,0,.,0,8,0,.,.,.,0,0,0,9,5,.,0,0,0,20,.,0,.,0,11,.,.,0,0,0,0,0,0,0,0,.,0,0,8,0,.,0,.,.,.,0,.,20,5,0,.,0,0
1,9,39,31,21,16,12,14,13,5,4,.,0,0,21,6,11,4,.,5,7,.,0,0,32,14,5,.,0,3,22,.,0,3,.,15,8,.,.,0,0,0,0,5,0,3,0,0,7,9,.,.,4,0,5,7,.,.,14,7,.,3,0,0
2,18,36,343,97,45,46,37,9,.,.,7,.,0,39,27,23,12,6,.,.,.,.,3,138,35,6,.,.,4,124,33,15,35,.,27,41,7,4,.,.,8,3,10,.,4,3,.,10,19,11,3,7,0,9,6,3,.,30,11,4,12,.,.
3,11,10,59,225,55,39,26,6,6,3,3,0,4,19,11,14,9,.,.,.,4,0,0,57,20,5,0,8,3,215,67,5,15,5,59,53,10,4,.,0,5,5,3,.,6,.,0,4,18,5,5,4,3,3,4,.,.,24,19,.,14,3,.
4,27,8,43,69,238,123,30,9,0,0,5,.,.,19,7,10,5,8,7,.,.,0,0,42,13,4,0,0,3,70,34,6,7,.,42,37,9,5,6,0,.,3,9,4,9,4,0,15,24,6,13,.,4,6,4,0,4,45,27,.,15,.,.
5,8,8,14,31,77,237,38,8,3,0,3,.,0,17,4,6,3,3,5,.,.,0,0,17,12,.,0,.,3,91,23,0,9,0,41,21,4,3,.,.,4,5,3,4,.,.,.,18,28,5,16,5,.,18,9,3,.,57,17,7,6,0,7
6,12,17,31,26,37,37,120,4,.,4,3,.,.,18,8,7,4,6,0,.,.,0,3,25,6,0,.,0,0,47,15,4,17,5,22,12,5,0,.,0,.,0,4,.,4,7,0,8,21,4,6,.,3,24,9,0,5,86,42,7,24,.,7
10,4,10,6,7,11,14,17,424,122,22,31,24,5,41,26,13,34,32,11,13,8,4,.,33,13,3,.,12,5,26,12,3,7,.,6,13,4,5,.,0,7,0,.,0,3,4,.,7,16,7,9,.,.,14,3,.,6,26,21,5,23,3,8
11,.,9,8,8,.,.,3,79,165,13,12,21,.,6,13,10,11,19,10,7,4,.,.,10,15,.,3,0,0,8,3,0,.,0,3,3,3,3,0,0,3,0,5,.,.,.,0,.,4,.,3,3,.,11,4,.,0,14,4,0,13,.,.
12,.,.,3,5,0,.,3,32,15,104,72,19,3,6,11,11,12,11,0,4,3,0,0,5,4,3,0,0,0,5,8,.,.,0,0,7,.,.,0,0,.,.,3,.,6,.,0,.,5,4,4,0,0,4,4,0,.,14,12,10,14,10,8
13,.,5,4,.,0,.,9,29,15,63,209,38,10,12,9,6,6,14,3,3,6,0,.,11,9,4,.,.,0,13,5,.,4,.,.,7,6,3,.,0,.,.,4,0,5,4,0,8,12,.,7,.,7,11,7,.,5,11,10,13,27,10,9
14,.,4,4,3,4,.,.,16,12,16,43,117,10,8,6,.,6,121,4,.,0,0,.,4,.,4,0,.,0,8,.,.,.,.,.,.,.,0,0,0,.,.,.,.,37,0,0,0,10,9,.,.,0,6,.,0,0,6,6,4,8,5,10
15,0,0,0,0,0,.,.,5,0,4,8,18,27,.,.,3,.,3,.,.,3,0,0,.,0,.,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,0,0,.,0,0,0,3,0,.,0,0,.,.,0,0,3,.,.,.,7,0
