Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadaten (Werte),Wanderungsdaten,Ortsteile,Jahr,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,60,61,62,63,64,65,66,70,71,72,73,74,75,80,81,82,83,90,91,92,93,94,95
0,62,9,15,8,23,15,8,0,.,.,0,.,0,14,.,.,0,0,0,0,6,0,0,14,4,.,0,0,.,16,6,0,6,0,10,6,.,.,.,0,.,0,.,0,0,.,.,.,8,0,.,0,.,4,.,.,0,10,6,0,5,.,0
1,11,66,31,26,15,23,7,11,.,0,.,.,0,24,6,16,4,3,3,0,7,0,.,15,5,11,3,.,0,21,8,.,5,0,12,15,.,.,.,0,0,4,0,0,.,.,0,3,15,.,4,3,0,.,.,0,0,18,14,.,3,0,.
2,16,61,379,81,45,27,31,9,7,6,5,5,0,43,32,33,12,14,0,5,6,0,3,124,54,12,3,.,6,115,54,8,36,0,28,34,6,4,.,.,.,.,10,0,5,.,0,11,17,4,4,.,.,9,4,.,0,31,13,.,11,0,.
3,18,38,67,245,47,32,29,3,.,5,.,.,0,15,8,17,4,4,.,0,8,0,.,53,9,6,.,5,.,248,65,8,18,14,53,39,10,9,6,0,4,0,11,6,6,0,0,15,8,4,10,.,.,10,4,.,3,35,12,4,14,0,.
4,13,13,28,52,223,105,24,6,7,3,4,0,0,28,15,18,6,7,4,3,0,0,0,24,8,9,0,.,3,98,28,.,5,.,43,53,10,.,6,0,4,.,12,5,.,3,.,15,33,4,5,6,.,6,0,0,0,54,19,.,11,.,3
5,16,13,22,41,74,303,40,7,3,.,6,.,0,15,9,16,.,.,6,6,0,0,0,31,8,8,.,8,4,89,17,0,4,.,30,27,6,.,.,0,.,.,6,4,8,0,0,12,15,3,27,11,.,10,3,3,4,105,23,10,14,.,.
6,12,22,36,18,27,48,129,13,11,4,3,0,0,41,17,11,.,.,.,0,.,0,0,26,6,.,.,.,0,45,13,.,6,.,18,18,.,.,.,0,.,3,9,.,6,6,.,4,15,0,10,9,0,8,7,.,.,116,64,11,31,0,17
10,.,14,17,.,10,11,12,410,145,22,29,35,12,27,39,39,24,13,9,.,18,5,.,35,17,5,3,6,7,19,3,.,4,5,16,12,11,4,4,0,0,0,4,0,8,11,0,7,24,8,6,6,0,19,3,0,5,22,22,3,22,.,6
11,.,7,5,7,.,11,4,93,194,3,15,16,.,19,23,7,17,18,4,3,17,0,.,15,8,10,0,.,0,77,5,0,.,.,3,8,4,.,0,0,0,0,.,0,4,.,0,.,5,5,3,.,.,5,.,0,.,10,4,3,6,.,5
12,.,14,.,6,.,3,3,45,10,136,62,28,.,5,4,8,8,9,4,0,.,0,0,9,3,.,.,4,0,4,6,0,.,0,4,.,5,0,0,0,0,0,0,0,.,.,.,.,11,0,8,4,.,10,.,6,.,9,8,8,14,0,4
13,3,10,.,.,3,7,7,22,17,69,288,39,20,25,15,14,8,10,.,0,4,0,3,19,11,.,.,0,.,6,13,7,6,.,9,7,5,.,0,0,0,0,3,0,6,4,.,.,18,.,7,9,.,7,6,0,5,17,15,4,25,7,14
14,.,.,.,4,3,4,4,26,22,6,15,97,6,.,6,3,11,14,4,0,8,0,3,6,5,.,.,0,.,0,.,0,7,.,.,4,3,.,.,0,.,0,.,0,0,.,0,.,.,0,0,0,.,3,.,3,4,5,6,.,7,4,6
15,0,.,.,0,.,0,.,7,.,.,4,15,25,0,.,.,.,5,.,0,0,0,0,.,.,0,0,0,0,.,4,.,0,0,.,3,.,0,0,0,0,.,.,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,.,.,.,.
