metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2005,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2005,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,32062,5883,2016,690,2660,13977,1116,6332,16405,13334,1508,4682,1777,2620,2243
DE2,29173,.,6303,2291,685,2651,12203,1173,6367,15025,4819,797,7200,2318,2583,4131
DE3,6066,7155,.,32226,551,2670,3812,2764,5282,7789,1715,310,2886,1900,2550,1142
DE4,3872,4030,22568,.,325,1427,1880,3147,3656,4542,1121,182,4608,2514,1636,1020
DE5,911,755,743,169,.,1105,692,291,12640,1952,256,55,257,169,681,100
DE6,2173,2526,2679,680,853,.,1663,1999,11968,4292,607,98,579,369,22260,252
DE7,14901,14200,3921,1154,541,2232,.,750,7483,16708,16154,829,2425,1273,2187,2947
DE8,1855,1680,3697,2622,510,4750,1042,.,4314,2985,581,78,1386,948,5754,552
DE9,12630,13651,7274,3621,13387,12393,10526,3543,.,37246,4464,913,4366,6694,9845,2831
DEA,18003,18280,8761,2810,2071,5783,16644,2088,28201,.,16777,1484,4036,2731,5980,2162
DEB,12412,5023,1590,653,239,785,12737,427,2499,16658,.,3597,1055,603,959,605
DEC,1882,1101,377,93,76,161,1014,102,439,1817,3925,.,216,118,195,105
DED,7941,12173,3929,3517,306,986,3764,1396,3504,5956,1785,242,.,4132,1049,3939
DEE,3842,4287,2850,2279,316,970,2276,1130,8426,5050,1109,128,5985,.,1035,2647
DEF,2879,2812,2253,1016,867,18576,1898,4181,8209,5687,921,156,744,673,.,378
DEG,4159,7416,1662,859,169,487,4972,664,2813,3810,1272,141,5529,2517,584,.
