metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2004,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2004,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,29878,5403,2039,761,2568,13966,1128,6524,16017,12659,1532,4789,1889,2710,2184
DE2,29244,.,6390,2473,722,2789,12129,1051,6555,15340,4635,860,7537,2318,2494,4320
DE3,6199,6913,.,33955,682,2804,3774,2885,5710,8501,1614,414,2961,1806,2915,1204
DE4,4304,4272,22833,.,331,1545,1957,3028,4265,4718,1120,171,3999,2280,1743,935
DE5,807,690,673,147,.,1137,626,308,13327,1990,249,60,236,157,732,105
DE6,2175,2358,2581,551,889,.,1678,2175,12244,4262,586,130,555,418,23351,193
DE7,14952,13029,3700,1146,693,2366,.,712,7878,16572,14344,883,2283,1145,2191,2981
DE8,1943,1797,3591,2450,578,5444,1078,.,4875,3156,640,85,1267,861,6430,506
DE9,14592,15859,6984,4575,13332,13082,11865,4442,.,42088,5550,1200,6309,7832,10236,3911
DEA,17471,16952,8749,2687,2112,5979,16486,2186,29450,.,16632,1393,4145,2728,6538,2176
DEB,12357,4725,1508,609,283,797,12581,385,2782,15960,.,3507,1085,580,977,654
DEC,1749,1005,347,100,124,162,931,92,440,1797,3695,.,221,92,177,106
DED,8888,12263,3705,3471,335,1067,3922,1405,3690,6379,1839,321,.,3976,1096,3979
DEE,4150,4668,2785,2164,402,977,2275,1135,9833,5269,1236,170,5484,.,1122,2602
DEF,2891,2766,2337,1020,920,19620,1943,4217,8352,5418,1012,176,742,586,.,357
DEG,4380,7377,1618,856,210,515,4869,701,3009,3758,1084,179,4854,2432,617,.
