Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2008,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,35633,7134,2053,753,3160,15709,1243,7057,16283,13347,1550,4711,1938,2695,2352
DE2,32249,.,7768,2316,700,3147,13571,1149,7020,16488,4862,847,7353,2252,3048,4519
DE3,5903,6874,.,27755,638,2909,3747,2717,5029,8113,1335,378,3080,1789,2528,1151
DE4,3334,3807,24458,.,304,1393,1637,3221,3155,3775,852,118,4857,2297,1730,1046
DE5,988,1011,911,195,.,1483,798,280,12814,2175,270,72,247,175,821,134
DE6,2292,2722,3212,629,984,.,1882,2067,11670,4371,565,109,598,458,21297,292
DE7,16116,15541,4579,1252,698,2517,.,744,7988,17340,13903,930,2520,1189,2424,3166
DE8,1935,1948,4457,2747,555,5530,1115,.,4493,2836,540,79,1579,916,5852,609
DE9,9816,9507,6816,2469,13362,13638,9000,2977,.,31365,3194,513,2949,5269,9223,2242
DEA,20708,21129,11339,3049,2340,7144,19213,2267,31329,.,16468,1601,4238,2665,7142,2394
DEB,14417,6194,2110,680,301,953,14881,397,2945,17401,.,4482,1157,537,1116,702
DEC,2171,1377,482,90,81,201,1200,85,501,1838,4344,.,258,140,181,147
DED,7764,11975,5212,4017,370,1373,3699,1417,3350,6094,1589,246,.,4301,1221,4626
DEE,3653,4460,3629,2522,306,1363,2369,1307,8406,4443,929,128,6576,.,1167,3034
DEF,2764,3121,2690,1087,977,18806,2026,3972,8350,5706,883,163,831,701,.,401
DEG,4346,8139,2106,1021,226,728,4825,776,2941,3635,1044,142,5718,2396,625,.
