metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2003,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2003,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,30093,5745,2024,780,2441,13567,1164,6708,15913,12495,1498,4797,2011,2692,2322
DE2,28834,.,6661,2360,812,2594,12176,1033,6771,16050,4543,927,7314,2448,2638,4036
DE3,6496,7433,.,33456,716,2515,3617,2819,5993,8548,1485,298,2799,2011,2728,1161
DE4,4665,4826,22648,.,358,1443,1996,3079,4423,4862,1143,144,3831,2231,1645,961
DE5,863,806,779,149,.,1003,599,228,13884,1851,213,38,240,186,670,114
DE6,2142,2626,2407,537,762,.,1633,1985,12164,4243,562,138,544,412,22067,195
DE7,14864,13923,3906,1054,638,2149,.,638,8199,16485,13946,876,2422,1264,2172,2958
DE8,2107,1913,3665,2516,639,5292,1098,.,4909,3324,595,68,1281,835,6700,546
DE9,16477,17975,7355,5029,13306,13244,12178,4891,.,45232,5896,1349,7112,8149,10524,4409
DEA,18109,17284,9400,2827,2219,5382,16260,2138,30440,.,16875,1405,4042,2878,6374,2299
DEB,12432,4918,1531,632,252,649,12127,384,2721,15737,.,3505,1200,653,1077,692
DEC,1754,1077,373,86,71,178,924,78,505,1624,3707,.,198,121,146,97
DED,10150,14192,3742,3251,320,959,4050,1364,3792,6625,2006,252,.,4115,1146,3926
DEE,4675,5452,2913,2168,375,917,2515,1204,10124,5569,1251,170,5192,.,1107,2859
DEF,2829,2867,2325,857,874,18525,1990,4168,8629,5565,999,148,708,636,.,316
DEG,4779,8024,1582,811,173,428,5222,651,3074,3932,1309,119,4584,2517,530,.
