Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2001,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,31857,6152,1776,761,2689,14125,940,6927,16145,12316,1560,4231,1611,2644,1926
DE2,29617,.,6565,2062,656,2635,11809,935,6643,15472,4806,881,6480,2026,2731,3876
DE3,6396,8160,.,34533,576,2086,3606,2495,5276,7935,1486,249,2414,1522,2453,1056
DE4,6931,7117,22355,.,361,1294,2366,3048,4612,5986,1408,191,3783,2152,1796,942
DE5,867,883,783,132,.,1264,664,185,14192,1765,273,49,164,138,677,98
DE6,2167,2703,2763,562,689,.,1798,1736,11830,3931,529,113,443,346,21678,220
DE7,15597,15054,4371,1071,648,2227,.,574,8075,16625,14335,813,2091,1056,2438,2853
DE8,2774,2550,4133,2464,633,5062,1269,.,5280,3768,796,112,1244,865,7272,542
DE9,20513,22364,8445,5952,12381,13993,15267,5543,.,50596,7315,1543,8626,8563,11061,5141
DEA,18622,19631,10806,3026,1979,5856,17428,1882,30134,.,16862,1422,3727,2459,6411,2097
DEB,13125,5734,1630,666,294,757,12426,316,2842,15895,.,3628,963,559,971,691
DEC,2309,1251,426,88,82,151,1187,61,532,1811,3888,.,168,86,186,99
DED,14844,20373,4206,3474,337,1041,5360,1297,3907,8265,2457,299,.,3559,1170,3708
DEE,7093,8504,2891,2327,317,943,3132,1239,10765,6960,1636,133,5132,.,1166,2684
DEF,3109,3012,2393,881,733,17747,1999,3822,8442,5669,909,149,605,492,.,369
DEG,6173,9720,1623,857,174,384,5444,524,3349,4304,1455,165,4241,2187,531,.
