metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2012,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2012,insgesamt,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,37427,7882,2052,860,3348,16196,1169,7387,17607,14610,1720,4982,1850,2650,2513
DE2,34023,.,8360,2410,863,3432,13356,1140,7452,16400,4893,886,7735,2304,2995,5016
DE3,6095,7136,.,26903,703,2848,3676,2894,5354,8048,1378,309,3824,2272,2500,1399
DE4,2309,2865,22851,.,243,978,1211,3150,2757,2854,689,108,5094,2316,1320,946
DE5,1018,1168,1043,187,.,1486,685,320,13058,2262,293,63,349,199,909,140
DE6,2482,3044,3614,814,1104,.,1923,2131,12927,4688,671,112,854,528,23114,350
DE7,16672,15694,5200,1231,755,2661,.,850,8529,17705,14714,1062,2933,1321,2412,3144
DE8,1416,1536,3894,2823,352,3964,837,.,3730,2394,466,71,1670,985,4555,603
DE9,8180,8850,7052,2302,13185,13132,8291,3053,.,30861,2885,468,3348,5892,9207,2471
DEA,20555,20599,11659,2876,2534,7112,18625,2340,32723,.,17344,1631,4613,2792,6737,2553
DEB,15168,5891,2098,706,312,935,14919,414,3005,17629,.,4430,1290,570,1103,732
DEC,2399,1255,481,104,67,217,1258,71,579,1869,4555,.,301,89,210,128
DED,5300,8655,5028,3964,295,1040,2894,1452,3184,4542,1175,205,.,4767,1024,4801
DEE,2564,3071,3339,2448,249,888,1741,1159,7140,3284,704,114,7139,.,918,2913
DEF,2855,3072,2897,1141,1085,19307,2036,4131,9500,5779,1013,150,1025,743,.,524
DEG,3097,6488,2075,982,195,586,3964,659,2985,3012,890,144,6319,2723,630,.
