Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2015,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,39239,6682,2067,857,3297,17765,1451,7891,19101,16121,1764,5096,1971,3007,2451
DE2,37995,.,7904,2561,888,3579,14939,1471,8372,18562,5392,983,8058,2283,3377,4921
DE3,5697,6710,.,30830,647,2786,3802,3102,5259,8303,1500,306,4001,2494,2414,1360
DE4,2024,2402,18441,.,178,788,1190,3224,2462,2816,532,106,4734,2482,1090,882
DE5,994,915,888,195,.,1391,641,276,13994,2371,305,53,311,211,853,166
DE6,2698,2922,2988,797,957,.,1880,2196,13140,5099,619,134,770,489,24263,363
DE7,17723,16061,4624,1286,727,2698,.,992,9141,19740,16028,932,3031,1448,2561,3311
DE8,1298,1364,3060,2724,328,3414,852,.,3483,2805,463,57,1680,886,4264,636
DE9,9011,9504,6256,2392,11613,13345,8749,3204,.,33231,3291,561,3649,5745,9343,2428
DEA,21218,20309,10015,3184,2286,7222,20115,2628,36187,.,18200,1643,5037,3200,7045,2907
DEB,16386,5900,1901,743,283,956,15705,513,3276,18559,.,4657,1301,615,1170,729
DEC,2362,1182,469,135,61,199,1267,94,577,2433,5070,.,254,114,190,134
DED,4727,7486,4449,4045,259,1046,2599,1679,3364,4965,1216,183,.,5156,1139,4709
DEE,2154,2480,2708,2548,252,759,1599,1212,6663,3834,717,102,7182,.,894,2947
DEF,2752,3008,2300,1169,884,19842,2070,4082,9390,5936,899,182,1039,826,.,562
DEG,2994,5814,1898,990,162,575,3747,712,2871,3482,839,150,6540,2753,672,.
