Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2016,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,40580,8167,2195,970,3123,18494,1497,8487,20868,17307,1789,5308,2043,3256,2701
DE2,38473,.,9538,2921,1151,3694,15904,1582,8740,22328,5816,1111,8359,2646,3526,5073
DE3,5693,6694,.,32509,710,2655,3663,3179,5268,7942,1576,289,3903,2404,2405,1350
DE4,1955,2395,21109,.,313,771,1116,3478,2886,4879,783,118,4708,2522,1192,895
DE5,1018,1078,1097,200,.,1366,726,330,14307,2380,302,54,315,227,938,157
DE6,2589,3067,3650,747,1096,.,2039,2204,13889,5182,716,117,766,495,24400,368
DE7,18264,16468,5637,1490,820,2661,.,1010,9257,20101,17024,913,3281,1533,2628,3442
DE8,1425,1476,3537,3022,678,2501,982,.,3799,6594,580,146,1735,1083,4273,651
DE9,9470,9655,7015,2691,14022,13433,8847,3312,.,34049,3443,578,3676,6069,9552,2594
DEA,21331,21277,12255,3331,2844,7028,19989,2838,35778,.,19211,1804,5038,3065,7160,2921
DEB,16827,6087,2287,707,414,944,16309,454,3354,18525,.,4560,1302,623,1169,746
DEC,2391,1331,577,134,90,222,1309,109,668,2876,5491,.,216,140,268,116
DED,4904,7447,5278,4248,460,1089,2812,1676,3700,6644,1259,288,.,5704,1228,4754
DEE,2189,2732,3174,2654,382,779,1512,1318,6975,5506,728,174,7196,.,1070,2898
DEF,2938,3239,2683,1132,1147,19818,2031,4398,9610,6392,994,191,1144,842,.,594
DEG,2963,5612,2127,1040,322,593,3814,829,3318,4815,963,185,6744,2960,694,.
