metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2018,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2018,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,41124,6637,2042,843,3264,17684,1329,7769,19083,16492,1708,5009,1761,3245,2241
DE2,36612,.,7961,2450,819,3570,14477,1469,8015,17775,5417,903,7635,2361,3107,4728
DE3,5635,6672,.,32890,628,2667,3546,3214,5177,7807,1471,314,3932,2294,2378,1284
DE4,1803,2089,16945,.,215,669,1051,3615,2313,2752,599,87,4604,2398,1116,904
DE5,915,1034,806,184,.,1275,633,233,14286,2178,287,54,318,178,850,145
DE6,2552,3065,3013,707,977,.,1918,1989,13190,4783,685,123,851,496,22873,326
DE7,17381,16262,4559,1246,698,2669,.,920,8546,18160,16258,910,2901,1228,2517,3063
DE8,1214,1401,2564,2633,294,2002,818,.,3001,2504,458,72,1613,918,3818,557
DE9,9166,9770,6248,2512,12072,12695,8987,3260,.,31586,3462,654,3535,5449,9189,2540
DEA,19735,20032,9999,2936,2307,6528,18786,2465,33559,.,18378,1535,4381,2580,6842,2541
DEB,16104,5988,1935,627,304,921,15428,546,3146,17219,.,4446,1273,569,1066,710
DEC,2024,1254,455,106,60,188,1156,71,548,1889,4968,.,219,110,186,103
DED,4313,6660,4136,4004,336,1070,2631,1664,3025,4524,1122,248,.,5762,1006,5035
DEE,1734,2252,2412,2268,248,679,1500,1196,5489,3302,615,108,6459,.,749,2807
DEF,2760,3002,2125,1007,881,17662,2025,4020,8851,5494,961,138,1068,742,.,552
DEG,2445,5277,1678,960,221,539,3282,786,2725,3171,816,126,6205,2585,591,.
