metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2007,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2007,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,36239,6441,2079,733,3124,15260,1138,6762,16382,13088,1425,4651,1777,2667,2134
DE2,30914,.,7391,2248,746,2971,13009,1146,6841,15565,4766,832,6973,2198,3023,4429
DE3,5944,7124,.,28582,677,2904,3741,2823,5129,8237,1495,288,2914,1777,2444,1070
DE4,3726,3929,24073,.,306,1539,1781,3209,3472,3967,870,146,4610,2225,1668,978
DE5,932,925,834,154,.,1411,632,304,12570,2044,286,48,218,159,839,126
DE6,2082,2764,2870,668,805,.,1871,2082,11094,4264,600,90,562,389,20680,264
DE7,15376,15669,4446,1109,622,2482,.,765,7514,16699,14049,857,2438,1180,2381,2969
DE8,1861,1822,4338,2786,533,5381,1052,.,4322,2837,563,65,1501,1005,5886,559
DE9,9038,9848,6637,2594,12551,12726,8707,2879,.,31024,3161,611,2885,5491,9425,2013
DEA,19418,21014,10541,3228,2141,6843,18166,2050,30117,.,16400,1435,4295,2605,6831,2123
DEB,13729,6134,1950,655,287,979,13814,453,2813,16600,.,3834,1159,545,1110,680
DEC,2051,1255,430,120,71,185,1145,87,440,1804,3993,.,284,74,183,123
DED,7916,12267,4771,3784,323,1367,3740,1580,3366,5675,1616,258,.,4192,1246,4217
DEE,3798,4485,3330,2425,326,1619,2245,1300,8390,4635,1030,161,6258,.,1109,2877
DEF,2734,3104,2468,1073,895,17876,2043,3845,7996,5493,1006,154,870,656,.,381
DEG,4420,7950,2005,973,174,1006,4866,692,2942,3553,1100,182,5513,2257,642,.
