metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2006,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2006,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,36526,6001,1790,755,2859,14466,1089,6692,16149,13430,1567,4802,1707,2775,2218
DE2,29861,.,6683,2334,667,2842,12547,1067,6551,15453,4899,855,7036,2140,2946,4201
DE3,5739,7281,.,29764,653,2966,3611,2803,5268,7746,1532,314,2867,1594,2513,1024
DE4,3305,4000,23034,.,322,1381,1854,3066,3655,4146,1003,164,4930,2059,1638,887
DE5,866,890,759,189,.,1236,647,275,12228,1953,282,45,232,198,732,85
DE6,2109,2620,2664,611,890,.,1767,1971,10936,4191,638,115,564,367,20662,252
DE7,14639,14845,4228,1207,597,2222,.,787,7346,15938,14458,754,2478,1064,2166,2868
DE8,1740,1793,4179,2475,532,4818,1064,.,4271,3000,573,83,1491,880,5823,543
DE9,9121,9984,6320,2629,13559,12541,8448,3086,.,30158,3251,463,2942,5399,8926,2137
DEA,18188,20342,9915,2930,1967,6171,17071,2100,28956,.,16863,1414,4101,2507,6443,1995
DEB,12720,6090,1688,630,257,824,13227,382,2600,16037,.,3595,1106,584,1063,650
DEC,2052,1299,403,116,76,151,1019,73,388,1637,4599,.,288,103,162,122
DED,7738,12794,4439,3437,292,1074,3693,1334,3237,5590,1785,251,.,4010,1037,3944
DEE,3554,4569,3098,2266,330,947,2303,1182,8287,4532,1068,181,6055,.,1108,2746
DEF,2661,3074,2422,1020,909,18572,1869,3677,8058,5521,1005,140,743,565,.,418
DEG,4206,8128,1797,1001,182,627,4776,637,2816,3642,1254,183,5736,2255,630,.
