Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2000,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,32906,5819,2307,655,2605,14853,1242,6654,16036,13017,1676,4900,1603,2581,2021
DE2,29852,.,6018,1694,674,2491,11829,840,6166,14469,4527,745,6219,1757,2599,3822
DE3,5651,7074,.,38712,515,2057,3606,2595,5397,7509,1486,264,2518,1500,2557,987
DE4,5153,5382,21566,.,321,1126,1883,2858,4525,5337,1307,129,3960,2075,1502,919
DE5,831,799,793,133,.,1105,676,263,14723,1763,229,44,164,134,634,88
DE6,2047,2535,2628,421,703,.,1685,1545,12270,3761,517,86,446,340,22629,170
DE7,14907,14387,4047,1115,621,2354,.,595,7766,16147,13947,858,2067,993,2380,2858
DE8,2306,2216,3593,2550,558,4800,1100,.,5420,3352,683,88,1277,793,6840,534
DE9,15313,19490,8095,5042,12229,13503,14550,4523,.,48956,6313,1270,7646,8570,10750,4929
DEA,18422,19079,11339,3340,1772,5789,17453,1911,29952,.,17192,1340,3846,2498,6009,2152
DEB,12828,5712,1696,648,226,759,12378,325,2765,15472,.,3472,1007,583,1041,701
DEC,2169,1136,407,107,72,167,1119,88,489,1786,3913,.,148,84,134,94
DED,12063,16926,3760,3413,269,926,4592,1306,3928,7474,2235,257,.,3405,1045,3460
DEE,5746,6831,2822,2308,350,784,2863,1203,10743,6402,1543,153,5094,.,1082,2703
DEF,3211,2844,2459,834,763,18385,1867,3940,8350,5149,1056,141,653,525,.,285
DEG,4894,8534,1567,852,134,388,5015,605,2989,3979,1351,127,4232,2141,516,.
