metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2013,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2013,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,38045,7545,1982,927,3261,16593,1285,7322,18047,15426,1736,4945,1992,2882,2652
DE2,34227,.,8596,2291,815,3334,13816,1257,7268,16934,4834,856,7571,2288,3128,4863
DE3,5898,6852,.,28349,694,2868,3940,3155,5365,8101,1427,310,3833,2377,2481,1323
DE4,2085,2525,21768,.,236,829,1175,3201,2715,2919,705,105,5085,2322,1300,996
DE5,862,1072,981,217,.,1469,727,273,13723,2354,306,50,342,224,848,182
DE6,2536,3091,3551,672,1111,.,1920,2146,13287,4685,678,123,858,540,24157,343
DE7,16784,15676,5274,1210,725,2569,.,858,8699,18112,15089,1045,2734,1404,2602,3157
DE8,1407,1528,3633,2839,368,3722,833,.,3365,2278,436,48,1602,1011,4367,603
DE9,8353,9066,6668,2291,13319,13485,8093,2963,.,31688,2944,552,3268,5566,9457,2428
DEA,20380,20633,11650,2916,2684,7376,19339,2390,33797,.,17783,1620,4924,3032,7183,2659
DEB,15308,5907,2117,702,289,1008,15615,478,3124,17790,.,4648,1335,657,1163,750
DEC,2175,1363,479,113,80,177,1305,72,585,2057,4640,.,222,113,208,119
DED,5112,8226,4861,4170,309,993,2726,1472,3140,4772,1136,192,.,4846,1142,4675
DEE,2225,2940,3157,2410,222,750,1558,1168,6961,3123,694,103,7127,.,923,2918
DEF,3014,3033,2723,1179,988,19538,1978,4164,9412,5796,996,163,1084,809,.,489
DEG,2959,6206,2038,900,228,564,3843,735,2918,3010,797,129,6440,2609,659,.
