metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2008,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2008,männlich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18013,3606,1046,429,1577,7872,673,3615,8214,6592,772,2448,1067,1321,1193
DE2,16442,.,3870,1220,376,1554,6982,599,3596,8560,2512,425,3770,1245,1542,2322
DE3,3137,3569,.,13681,318,1425,1945,1369,2562,4065,680,198,1562,921,1210,578
DE4,1730,1995,12165,.,162,672,827,1517,1578,1922,453,62,2414,1150,857,499
DE5,527,530,430,95,.,721,429,148,6215,1072,145,32,118,87,407,66
DE6,1164,1403,1647,325,493,.,981,1028,5815,2229,296,45,308,239,10516,167
DE7,8173,7807,2240,663,371,1231,.,391,3923,8553,6798,480,1270,616,1187,1555
DE8,1023,1056,2206,1315,286,2733,573,.,2245,1441,283,43,779,464,2937,296
DE9,4935,4875,3397,1235,6751,6679,4394,1563,.,15401,1560,266,1484,2628,4528,1076
DEA,10511,10949,5634,1559,1180,3446,9495,1159,15364,.,8255,815,2179,1425,3478,1184
DEB,7245,3125,1064,366,146,471,7258,204,1457,8507,.,2185,595,283,548,347
DEC,1111,711,248,49,34,104,626,44,260,920,2122,.,151,81,85,76
DED,4071,6154,2479,1914,194,675,1863,629,1744,3090,809,133,.,2057,581,2250
DEE,1920,2369,1745,1161,156,702,1151,611,4123,2231,508,62,3249,.,575,1443
DEF,1353,1624,1313,543,508,9272,999,2039,4118,2788,445,77,437,373,.,200
DEG,2332,4122,996,498,106,369,2330,365,1456,1845,518,65,2844,1222,304,.
