metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2013,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2013,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,19418,3794,1026,475,1597,8380,647,3842,9270,7798,894,2564,1062,1419,1362
DE2,17540,.,4353,1216,427,1638,7239,647,3846,9005,2445,427,4009,1212,1618,2537
DE3,3015,3539,.,14397,339,1429,1960,1574,2749,4128,721,166,1936,1206,1179,653
DE4,1113,1390,11205,.,126,440,629,1543,1472,1533,376,48,2596,1174,649,478
DE5,454,590,468,109,.,695,376,124,6675,1151,161,26,181,119,447,90
DE6,1321,1594,1780,349,550,.,946,1077,6566,2320,336,62,425,295,11991,189
DE7,8645,8098,2609,616,397,1264,.,416,4355,8990,7452,498,1362,726,1260,1536
DE8,759,837,1879,1378,200,2035,446,.,1787,1198,238,28,827,477,2272,278
DE9,4263,4812,3304,1218,6709,6554,3931,1536,.,15537,1477,291,1695,2800,4675,1211
DEA,10590,11041,5811,1497,1330,3634,9734,1184,16864,.,8992,841,2585,1654,3473,1403
DEB,7677,3030,1018,354,138,472,7711,237,1607,8742,.,2275,662,362,570,376
DEC,1081,740,243,51,35,83,636,33,302,1053,2240,.,114,65,101,68
DED,2790,4423,2445,2048,188,487,1438,733,1625,2546,606,102,.,2446,563,2327
DEE,1178,1624,1562,1167,129,396,785,575,3673,1640,369,58,3688,.,450,1449
DEF,1488,1612,1277,591,492,9601,969,2108,4718,2916,503,76,563,418,.,237
DEG,1593,3345,1018,462,114,279,2034,358,1519,1641,421,73,3341,1298,316,.
