metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2012,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2012,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,19175,3877,1064,488,1635,8141,595,3838,8928,7309,841,2641,948,1250,1310
DE2,17254,.,4213,1310,471,1718,6921,611,3891,8580,2481,473,4011,1223,1484,2525
DE3,3153,3679,.,13530,358,1378,1867,1462,2622,4063,695,169,1915,1103,1247,672
DE4,1271,1562,11706,.,128,528,640,1520,1444,1461,359,59,2544,1128,691,460
DE5,568,622,528,91,.,733,364,156,6479,1107,145,28,190,100,438,65
DE6,1279,1564,1810,432,565,.,1010,1088,6420,2406,328,57,436,265,11344,168
DE7,8452,8249,2572,622,393,1335,.,439,4135,8765,7314,541,1461,659,1137,1547
DE8,768,880,1991,1407,173,2134,457,.,1984,1248,255,34,834,497,2347,286
DE9,4144,4638,3362,1179,6631,6387,4056,1582,.,15147,1414,237,1674,2964,4502,1263
DEA,10536,10696,5777,1434,1232,3467,9338,1196,15977,.,8600,843,2368,1456,3246,1319
DEB,7770,3074,1008,366,166,441,7324,207,1492,8598,.,2157,673,305,523,354
DEC,1193,645,245,59,29,108,638,36,279,932,2154,.,186,50,90,61
DED,2832,4669,2439,1903,152,519,1496,689,1670,2399,632,108,.,2357,533,2411
DEE,1344,1681,1631,1153,138,474,925,584,3708,1700,367,55,3573,.,463,1447
DEF,1487,1643,1463,586,559,9376,1022,2103,4696,2891,521,73,556,362,.,257
DEG,1645,3440,1020,467,89,296,1978,329,1527,1610,445,67,3140,1365,310,.
