metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2018,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2018,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,21931,3400,1111,451,1652,9032,669,4092,10018,8440,852,2654,929,1594,1201
DE2,19275,.,4077,1378,487,1753,7719,756,4247,9561,2903,476,3998,1266,1578,2449
DE3,2857,3568,.,16480,292,1289,1820,1576,2576,3961,726,172,2011,1169,1126,590
DE4,988,1183,8839,.,112,358,570,1758,1202,1517,333,57,2277,1170,548,453
DE5,513,560,404,104,.,626,303,120,7043,1062,159,27,178,88,431,83
DE6,1268,1646,1424,383,477,.,993,1008,6564,2370,341,57,425,269,11212,158
DE7,9137,8626,2232,606,382,1314,.,455,4326,9070,8197,454,1537,650,1208,1599
DE8,641,785,1291,1287,157,1056,453,.,1583,1424,246,32,808,444,1943,263
DE9,4871,5192,3054,1330,6167,6218,4469,1629,.,15599,1772,308,1852,2843,4466,1294
DEA,10564,10871,4931,1546,1171,3145,9593,1309,16699,.,9230,788,2285,1374,3345,1386
DEB,8365,3224,993,336,162,449,7806,287,1615,8592,.,2223,675,300,520,378
DEC,1043,670,230,61,34,100,599,36,281,966,2381,.,119,64,96,56
DED,2358,3689,2111,2019,190,547,1370,840,1626,2465,625,123,.,2921,518,2517
DEE,931,1250,1241,1137,139,376,813,600,2811,1798,346,55,3325,.,372,1364
DEF,1456,1589,1051,499,417,8778,1039,1997,4355,2766,498,61,540,380,.,291
DEG,1303,2812,811,493,113,290,1710,376,1396,1713,441,75,3112,1277,299,.
