Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2005,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,16174,3074,1041,369,1408,6980,594,3227,8307,6639,756,2496,980,1262,1191
DE2,14744,.,3316,1228,358,1388,6255,631,3268,7856,2411,384,3861,1258,1309,2198
DE3,3143,3689,.,16025,284,1325,1932,1437,2707,3885,869,164,1486,985,1293,597
DE4,1957,2044,11157,.,164,697,905,1488,1838,2224,587,90,2282,1220,827,522
DE5,489,389,398,82,.,543,361,160,6256,1011,131,25,119,90,334,56
DE6,1101,1265,1387,378,416,.,859,1117,6031,2222,327,56,309,193,11062,138
DE7,7571,7374,1983,591,268,1116,.,396,3753,8385,7934,438,1273,692,1012,1450
DE8,989,935,1800,1299,244,2424,527,.,2220,1529,296,43,674,463,2804,285
DE9,6291,6935,3701,1826,6702,6153,5161,1840,.,18375,2227,438,2200,3506,4834,1458
DEA,9243,9448,4452,1471,1013,3029,8317,1099,14105,.,8416,776,2151,1428,2951,1120
DEB,6390,2623,853,355,118,395,6368,238,1277,8309,.,1816,540,316,470,353
DEC,951,574,191,45,37,80,529,55,225,936,1959,.,114,60,109,52
DED,4065,6123,1886,1767,145,488,1856,666,1713,3034,881,130,.,2001,518,1932
DEE,2029,2277,1348,1040,157,439,1139,530,4051,2598,582,67,2994,.,539,1271
DEF,1474,1431,1182,524,453,9210,957,2137,4135,2928,451,81,392,343,.,194
DEG,2124,3596,819,396,77,259,2327,314,1385,1878,646,75,2748,1231,274,.
