Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2002,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,14992,3277,973,388,1278,7257,543,3610,7984,6742,774,2376,1052,1350,1073
DE2,15254,.,3588,1126,406,1430,6132,600,3755,8257,2678,495,3684,1264,1401,2171
DE3,3471,4095,.,16685,307,1094,1936,1417,2872,4284,807,185,1336,877,1301,548
DE4,3081,2948,11598,.,174,678,1162,1426,2165,2676,706,89,1745,1070,973,474
DE5,401,394,390,63,.,476,360,138,6766,966,102,20,85,75,354,43
DE6,1162,1270,1604,282,415,.,951,953,6236,2178,268,52,244,199,10756,135
DE7,7725,7266,2129,485,360,1127,.,357,4097,8214,7347,414,1190,579,1121,1444
DE8,1296,1216,1887,1214,331,2735,583,.,2673,1731,369,55,576,418,3572,270
DE9,9403,10037,4177,2744,6860,6738,6715,2625,.,23871,3553,753,3959,4366,5455,2464
DEA,9579,9394,5188,1440,924,2861,8681,1104,14972,.,9201,779,2012,1421,3161,1153
DEB,6523,2621,818,276,143,369,6149,194,1482,7905,.,1887,512,343,506,353
DEC,1021,536,204,43,57,108,546,28,244,892,2026,.,80,41,81,49
DED,6615,8584,1890,1628,162,511,2451,596,1982,3849,1285,149,.,1746,507,1828
DEE,2996,3378,1484,1033,191,394,1438,586,5074,3193,776,91,2365,.,585,1209
DEF,1533,1507,1397,471,467,9099,1012,2206,4119,2830,506,78,363,331,.,166
DEG,2857,4113,792,393,110,206,2553,315,1559,1970,738,80,2069,1021,311,.
