metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2010,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2010,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,17415,3658,1144,482,1611,7905,649,3619,8453,6731,849,2465,974,1398,1298
DE2,15920,.,4076,1245,423,1681,6913,669,3602,8410,2379,450,3848,1214,1443,2395
DE3,2612,3173,.,12776,312,1323,1839,1356,2474,3762,643,164,1595,960,1213,613
DE4,1311,1478,12001,.,141,595,640,1570,1479,1610,419,59,2336,1148,711,487
DE5,467,436,505,111,.,686,342,148,6168,1050,168,27,149,96,431,66
DE6,1132,1291,1745,357,509,.,925,1128,5864,2127,311,51,353,252,10706,186
DE7,7315,7306,2500,597,324,1282,.,390,3959,8435,6726,470,1299,669,1102,1401
DE8,701,755,2147,1445,218,2173,487,.,1906,1264,260,36,766,437,2654,269
DE9,3928,4188,3341,1243,6563,6158,4110,1529,.,14578,1544,253,1527,2737,4426,1186
DEA,9337,9849,5719,1546,1215,3459,9136,1131,15019,.,8129,747,2252,1394,3354,1267
DEB,6861,2773,1050,313,181,435,7162,205,1464,8723,.,2127,663,326,536,342
DEC,1110,606,245,54,21,89,615,33,244,960,2211,.,176,44,96,58
DED,3025,4915,2601,1870,185,649,1644,742,1652,2572,711,122,.,2340,551,2331
DEE,1287,1796,1655,1229,130,430,949,579,3662,1775,392,78,3241,.,521,1399
DEF,1271,1445,1384,530,556,9126,1006,1931,4282,2766,431,84,458,341,.,249
DEG,1606,3308,1017,482,117,326,2171,348,1490,1623,500,55,2925,1288,374,.
