Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2001,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,16285,3205,958,402,1388,7413,478,3511,8281,6478,811,2273,895,1278,1013
DE2,15082,.,3469,1113,339,1357,6222,517,3432,8112,2530,463,3426,1137,1338,2021
DE3,3377,4192,.,17264,275,1054,1854,1270,2687,4124,768,127,1306,800,1256,552
DE4,3537,3646,11070,.,168,601,1114,1489,2227,2907,705,78,1860,1063,875,448
DE5,445,486,400,62,.,686,336,86,6995,903,142,25,87,72,334,46
DE6,1127,1442,1463,311,368,.,929,907,5825,2005,274,55,230,176,10623,128
DE7,8085,7834,2230,553,324,1090,.,304,4013,8452,7431,403,1103,566,1180,1473
DE8,1441,1346,2043,1216,309,2509,651,.,2696,1889,414,68,637,444,3616,292
DE9,10224,11212,4295,2928,6286,6965,7512,2732,.,25084,3625,772,4277,4294,5382,2483
DEA,9650,10433,5634,1593,1013,3054,8865,993,14966,.,8638,714,2008,1338,3198,1117
DEB,6729,3060,838,378,148,403,6306,175,1385,7915,.,1793,513,319,484,371
DEC,1176,637,223,44,39,79,620,38,249,937,1997,.,89,45,86,53
DED,7674,10464,2095,1686,178,533,2680,617,1957,4112,1261,137,.,1772,565,1848
DEE,3677,4386,1448,1154,165,474,1558,577,5174,3435,896,62,2525,.,577,1346
DEF,1537,1570,1304,464,394,9041,1005,2019,4193,2873,452,77,349,274,.,221
DEG,3104,4636,761,416,77,190,2554,257,1577,2147,712,80,2121,1125,256,.
