metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2000,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2000,männlich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,16906,3198,1184,321,1328,7769,624,3407,8207,6655,871,2639,839,1271,1060
DE2,15298,.,3227,892,338,1313,6161,436,3178,7596,2370,392,3333,963,1298,1988
DE3,2965,3778,.,19355,257,1078,1910,1313,2712,3909,785,135,1328,792,1312,505
DE4,2636,2767,10629,.,154,532,951,1377,2191,2679,689,65,1968,1033,732,488
DE5,436,412,405,74,.,587,345,143,7206,924,113,24,84,76,323,39
DE6,1061,1328,1430,238,348,.,873,807,6146,1912,263,38,238,179,11120,92
DE7,7593,7424,2100,564,337,1204,.,306,3917,8348,7115,455,1097,510,1147,1467
DE8,1188,1148,1748,1265,297,2321,562,.,2718,1662,324,43,636,403,3387,262
DE9,7690,9728,4136,2535,6222,6860,7361,2331,.,24256,3103,646,3854,4289,5351,2463
DEA,9623,9912,5980,1726,920,3086,9001,1000,14855,.,8569,665,2097,1351,2981,1138
DEB,6626,2966,894,341,125,390,6291,173,1357,7707,.,1747,576,311,517,386
DEC,1129,606,215,51,45,98,555,52,252,884,2014,.,87,50,71,53
DED,6225,8435,1852,1628,118,488,2265,637,1975,3827,1109,127,.,1725,525,1712
DEE,2968,3544,1389,1081,155,409,1440,583,5141,3255,773,80,2600,.,559,1293
DEF,1615,1493,1342,463,405,9417,880,2091,4132,2679,553,69,347,292,.,169
DEG,2461,4129,765,407,61,200,2365,291,1446,1888,661,61,2095,1054,274,.
