Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2006,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18575,3137,928,408,1470,7208,560,3355,8233,6783,775,2575,914,1395,1170
DE2,14922,.,3504,1250,363,1462,6490,567,3360,8036,2488,443,3665,1161,1491,2159
DE3,3022,3710,.,14735,321,1488,1800,1389,2649,3938,753,167,1436,827,1264,517
DE4,1713,2089,11366,.,161,676,913,1446,1823,2005,525,82,2451,1026,831,442
DE5,461,440,379,86,.,630,323,152,6076,1012,130,23,135,96,376,45
DE6,1047,1384,1324,324,480,.,897,1055,5440,2174,329,59,299,193,10160,139
DE7,7443,7607,2193,632,295,1141,.,405,3633,7852,7139,385,1290,518,1068,1433
DE8,934,929,2018,1252,265,2400,557,.,2167,1526,291,40,748,433,2927,284
DE9,4712,5037,3102,1353,7024,6211,4112,1621,.,14918,1610,234,1518,2799,4455,1102
DEA,9283,10535,5085,1529,1021,3105,8544,1095,14269,.,8304,740,2133,1311,3187,1069
DEB,6371,3149,856,349,128,432,6540,201,1266,7946,.,1768,581,326,509,372
DEC,1028,672,183,67,40,80,473,34,192,827,2176,.,151,65,83,70
DED,3970,6398,2045,1674,139,563,1822,610,1590,2761,843,111,.,1911,526,1927
DEE,1830,2345,1451,1080,162,462,1135,555,4048,2309,530,90,2995,.,527,1311
DEF,1336,1570,1208,516,453,9228,975,1904,4073,2721,485,71,380,301,.,199
DEG,2167,4026,872,483,100,326,2263,302,1353,1795,596,97,2785,1113,311,.
