metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2015,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2015,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,20634,3419,1100,449,1610,9206,757,4197,10105,8328,921,2748,1100,1514,1322
DE2,20079,.,4051,1363,490,1771,8014,778,4566,10172,2911,571,4418,1291,1721,2612
DE3,2925,3530,.,15545,318,1376,1972,1551,2682,4236,792,161,2018,1269,1188,680
DE4,1134,1328,9763,.,112,415,656,1606,1312,1625,298,60,2463,1243,560,453
DE5,540,531,416,94,.,692,329,145,7055,1233,151,27,164,96,441,72
DE6,1387,1473,1517,390,476,.,965,1114,6537,2629,323,67,406,267,12016,186
DE7,9373,8576,2321,658,395,1343,.,542,4619,10089,8070,482,1621,773,1232,1675
DE8,721,793,1536,1330,190,1854,488,.,1828,1587,271,34,861,444,2237,347
DE9,4760,5070,3088,1245,5846,6601,4425,1665,.,16727,1691,302,1910,2899,4626,1227
DEA,11386,11086,4925,1685,1129,3591,10435,1357,18326,.,9174,826,2741,1748,3494,1615
DEB,8510,3106,941,422,142,460,7913,257,1697,9387,.,2298,728,318,575,385
DEC,1209,648,241,71,35,101,646,51,298,1340,2475,.,150,70,103,74
DED,2697,4191,2248,2044,147,523,1389,829,1877,2832,663,92,.,2671,571,2416
DEE,1190,1397,1416,1215,146,407,893,588,3559,2237,386,63,3696,.,468,1477
DEF,1431,1612,1151,589,487,9944,1059,2070,4783,3100,486,93,493,400,.,280
DEG,1681,3182,931,502,82,313,1988,343,1520,2027,434,94,3295,1372,371,.
