Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2017,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,20860,3680,1128,431,1555,9463,777,4053,9726,8699,841,2827,1063,1551,1375
DE2,19506,.,4265,1341,499,1718,7663,776,4112,9495,2760,495,4051,1244,1533,2557
DE3,2841,3415,.,16271,321,1255,1836,1569,2688,3921,719,151,1998,1237,1161,632
DE4,918,1151,9308,.,104,377,601,1607,1174,1431,309,63,2404,1127,523,495
DE5,482,556,428,103,.,603,366,183,7184,1144,155,24,191,128,379,90
DE6,1340,1541,1571,386,480,.,1051,1020,6416,2346,365,71,445,224,11011,174
DE7,9153,8338,2447,733,327,1281,.,532,4298,9169,8176,449,1670,726,1265,1652
DE8,656,706,1390,1332,149,1086,426,.,1614,1379,247,48,813,482,1764,296
DE9,4758,5256,3205,1324,5948,6083,4518,1703,.,15707,1798,264,1962,2912,4333,1331
DEA,10836,10977,5488,1583,1190,3258,10143,1469,17019,.,9237,835,2623,1570,3255,1537
DEB,8329,3037,970,300,172,507,7917,257,1623,8447,.,2253,691,298,562,398
DEC,1096,655,258,57,44,78,607,33,347,1059,2350,.,124,70,132,67
DED,2319,3788,2324,2081,186,555,1485,835,1582,2525,555,93,.,2924,567,2385
DEE,1115,1337,1314,1100,151,416,771,623,3056,1709,355,60,3447,.,440,1414
DEF,1478,1530,1158,528,427,8903,1091,2132,4604,2782,475,80,580,406,.,278
DEG,1338,3008,825,451,99,267,1710,363,1472,1570,424,47,3392,1316,310,.
