metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2016,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2016,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,21400,4116,1175,521,1547,9622,809,4515,11170,9026,941,2900,1122,1592,1477
DE2,20519,.,4877,1709,655,1850,8585,875,4808,12597,3187,627,4629,1560,1832,2726
DE3,2927,3435,.,16549,340,1275,1882,1602,2743,3959,838,164,2000,1257,1163,698
DE4,1104,1416,11300,.,189,400,631,1699,1617,3027,443,73,2431,1270,642,474
DE5,569,604,523,99,.,663,393,168,7099,1244,171,27,182,124,476,92
DE6,1324,1563,1783,406,539,.,1047,1145,6970,2603,354,66,389,257,12081,193
DE7,9698,8689,2873,845,416,1281,.,502,4600,10319,8708,460,1809,857,1251,1847
DE8,826,864,1867,1527,400,1349,578,.,2122,4204,336,93,949,588,2294,357
DE9,5091,5211,3514,1400,7125,6525,4517,1732,.,17256,1750,303,1955,3173,4687,1329
DEA,11623,11527,6136,1769,1452,3416,10360,1501,18073,.,9791,978,2767,1723,3554,1551
DEB,8818,3268,1174,370,241,449,8331,236,1738,9407,.,2286,719,344,568,404
DEC,1279,725,323,81,49,119,646,60,371,1629,2702,.,129,78,142,71
DED,2772,4156,2783,2150,268,590,1542,855,2124,4024,704,176,.,2960,669,2434
DEE,1219,1509,1653,1319,229,445,819,656,3680,3274,399,126,3799,.,592,1455
DEF,1536,1749,1282,581,593,9671,1016,2265,4841,3351,501,96,596,447,.,303
DEG,1687,3039,1082,533,190,299,1977,419,1785,2876,532,113,3446,1510,376,.
