metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2004,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2004,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,15155,2806,1063,400,1323,7121,607,3314,8195,6463,786,2552,1028,1341,1153
DE2,14765,.,3343,1333,400,1454,6398,566,3406,7983,2430,441,4050,1224,1277,2248
DE3,3291,3597,.,16997,342,1468,1938,1518,2899,4351,834,216,1516,943,1472,638
DE4,2186,2206,11144,.,147,746,954,1407,2070,2315,519,86,2025,1121,835,468
DE5,421,354,365,71,.,586,309,172,6631,1007,132,31,137,78,379,56
DE6,1111,1269,1348,291,481,.,881,1175,6069,2184,300,68,296,234,11506,117
DE7,7732,6869,1917,575,354,1173,.,365,3878,8354,7326,485,1201,602,1055,1466
DE8,977,938,1782,1232,288,2727,559,.,2451,1618,332,47,621,439,3193,251
DE9,7323,7960,3596,2282,6805,6606,5792,2319,.,20894,2720,596,3128,3960,5070,1917
DEA,9000,8761,4545,1420,1038,3079,8406,1185,14724,.,8449,734,2253,1596,3254,1162
DEB,6194,2421,741,326,125,432,6311,195,1443,8007,.,1748,572,317,460,333
DEC,875,532,191,53,63,91,473,52,219,985,1849,.,135,51,88,55
DED,4473,6220,1850,1659,181,525,1892,667,1822,3223,931,162,.,1991,525,1960
DEE,2168,2440,1376,1044,196,489,1142,521,4780,2679,655,94,2722,.,582,1250
DEF,1504,1428,1196,514,481,9991,953,2277,4245,2707,483,87,392,321,.,186
DEG,2274,3566,832,396,108,253,2284,365,1463,1837,563,93,2407,1206,290,.
