metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2011,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2011,weiblich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18280,3804,997,371,1661,8129,623,3581,8799,7153,890,2499,923,1421,1240
DE2,16834,.,4114,1144,373,1767,6874,541,3474,7926,2356,426,3788,1144,1507,2424
DE3,2668,3362,.,13281,342,1369,1844,1492,2647,4055,694,154,1816,1089,1237,645
DE4,1232,1325,11708,.,119,547,650,1726,1403,1515,334,57,2446,1149,673,551
DE5,467,459,516,85,.,796,399,147,6441,1214,125,19,148,113,442,80
DE6,1226,1376,1857,334,547,.,939,1114,6382,2348,340,59,383,264,11961,167
DE7,8035,7213,2616,630,381,1423,.,376,4214,9240,7406,508,1345,723,1262,1661
DE8,671,724,2033,1482,215,1789,439,.,1670,1207,249,38,848,481,2388,309
DE9,4162,4352,3619,1220,6569,6872,4376,1513,.,17081,1556,269,1680,2869,4808,1191
DEA,9590,9796,5946,1394,1200,3702,9881,1203,16333,.,8603,825,2282,1375,3405,1167
DEB,7409,2879,1024,320,186,447,7951,211,1515,9116,.,2259,588,291,583,371
DEC,1157,643,269,56,35,90,646,23,263,975,2336,.,131,48,114,71
DED,2894,4447,2861,2053,158,614,1600,837,1614,2505,638,86,.,2448,601,2519
DEE,1282,1630,1706,1244,131,439,977,683,3625,1811,371,61,3496,.,488,1673
DEF,1359,1505,1445,557,479,9810,1086,2030,4674,3034,434,77,489,417,.,271
DEG,1517,3068,1127,524,91,267,2095,369,1478,1531,431,86,3126,1375,292,.
