metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2001,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2001,weiblich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,15572,2947,818,359,1301,6712,462,3416,7864,5838,749,1958,716,1366,913
DE2,14535,.,3096,949,317,1278,5587,418,3211,7360,2276,418,3054,889,1393,1855
DE3,3019,3968,.,17269,301,1032,1752,1225,2589,3811,718,122,1108,722,1197,504
DE4,3394,3471,11285,.,193,693,1252,1559,2385,3079,703,113,1923,1089,921,494
DE5,422,397,383,70,.,578,328,99,7197,862,131,24,77,66,343,52
DE6,1040,1261,1300,251,321,.,869,829,6005,1926,255,58,213,170,11055,92
DE7,7512,7220,2141,518,324,1137,.,270,4062,8173,6904,410,988,490,1258,1380
DE8,1333,1204,2090,1248,324,2553,618,.,2584,1879,382,44,607,421,3656,250
DE9,10289,11152,4150,3024,6095,7028,7755,2811,.,25512,3690,771,4349,4269,5679,2658
DEA,8972,9198,5172,1433,966,2802,8563,889,15168,.,8224,708,1719,1121,3213,980
DEB,6396,2674,792,288,146,354,6120,141,1457,7980,.,1835,450,240,487,320
DEC,1133,614,203,44,43,72,567,23,283,874,1891,.,79,41,100,46
DED,7170,9909,2111,1788,159,508,2680,680,1950,4153,1196,162,.,1787,605,1860
DEE,3416,4118,1443,1173,152,469,1574,662,5591,3525,740,71,2607,.,589,1338
DEF,1572,1442,1089,417,339,8706,994,1803,4249,2796,457,72,256,218,.,148
DEG,3069,5084,862,441,97,194,2890,267,1772,2157,743,85,2120,1062,275,.
