metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2002,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2002,weiblich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,14302,2853,910,424,1201,6897,524,3472,7627,6012,757,2018,789,1356,938
DE2,14621,.,3235,1011,410,1317,5842,514,3430,7418,2280,451,3185,1130,1401,1983
DE3,3211,3675,.,16617,312,1184,1827,1263,2772,3942,740,169,1207,820,1281,511
DE4,2973,2824,11997,.,209,726,1236,1494,2330,2697,677,96,1815,1034,1015,491
DE5,432,351,347,80,.,517,307,125,6993,912,112,26,90,59,348,43
DE6,1109,1149,1454,266,427,.,928,874,6139,1929,228,47,230,137,11099,101
DE7,7322,6805,1937,455,388,1073,.,271,4165,8141,6789,409,1033,535,1165,1441
DE8,1235,1147,1953,1271,335,2844,591,.,2830,1721,349,49,622,411,3891,281
DE9,9723,10298,3998,2804,6753,6687,6968,2537,.,24083,3662,829,4101,4220,5690,2457
DEA,8866,8407,4751,1279,971,2648,8287,968,14967,.,8654,724,1851,1235,3428,1023
DEB,6129,2538,733,267,141,331,5973,162,1458,7903,.,1773,479,242,533,328
DEC,967,502,198,41,45,93,494,24,234,869,1873,.,82,32,102,42
DED,6399,8501,2126,1748,170,549,2370,689,1977,3880,1137,146,.,1746,558,1940
DEE,2833,3257,1551,1215,186,440,1480,635,5501,3218,696,79,2495,.,603,1381
DEF,1498,1382,1258,406,396,9045,1025,1931,4124,2774,519,90,314,269,.,162
DEG,2790,4357,882,473,90,215,2812,342,1680,2001,690,70,2197,1063,322,.
