metadata keys,type,year,Metadaten (Kategorien),Inhalt,Bezugs-raum,Zeitraum,Zeitraum bezogen,,,,,,
metadata values,movement-year,2005,Metadaten (Werte),Wanderungsdaten,Stadtbezirke,Jahr,2005,,,,,,
,0,1,2,3,4,5,6,7,8,9
0,2694,118,489,459,933,443,112,275,75,654
1,169,1933,453,163,166,102,40,121,76,256
2,494,500,3958,810,362,243,165,243,97,371
3,421,122,747,2381,427,178,85,192,40,180
4,896,123,500,516,3906,438,203,293,57,225
5,374,57,188,143,345,2692,434,534,49,170
6,201,54,201,108,151,484,2681,525,69,157
7,315,125,255,167,195,554,492,2918,148,275
8,151,90,95,46,48,57,48,154,1299,535
9,580,313,314,222,233,192,146,237,429,3182
