;;40;46;476;248;245;340;135;527;141;96;184;112;18;329;326;319;168;478;41;58;210;13;14;711;644;108;24;173;101;1029;890;127;414;91;439;392;342;290;64;11;85;131;400;19;411;342;36;176;519;219;314;350;64;484;143;71;179;489;401;172;538;49;146;4
13;10013;0;4;4;4;7;4;5;39;11;66;239;30;5;12;12;8;4;9;.;.;4;0;.;5;6;5;.;0;0;13;5;.;.;4;0;4;4;0;.;0;.;.;14;0;14;.;0;.;9;6;5;3;.;19;4;0;4;14;24;20;18;5;3;0
14;10014;.;0;3;3;4;4;4;29;16;18;30;101;8;5;3;3;3;5;3;0;5;0;0;7;3;.;0;0;0;.;5;0;.;0;0;.;.;3;0;0;.;.;.;0;.;3;.;.;6;.;.;.;0;3;.;0;0;9;3;8;5;3;.;0
15;10015;0;.;4;0;.;.;.;4;.;4;7;9;30;.;.;0;.;6;0;0;.;0;.;.;0;.;0;0;0;.;.;0;0;.;0;0;0;0;0;0;0;.;0;.;0;0;0;0;.;0;0;.;0;0;.;0;.;3;4;0;.;.;.;0
20;10020;4;13;47;27;13;23;26;59;13;12;7;.;0;301;155;64;20;37;.;3;3;0;0;124;36;14;9;.;.;29;19;.;9;11;14;15;19;3;0;6;.;.;13;0;10;.;0;20;41;3;15;.;.;6;16;.;3;38;16;0;14;0;4;0
21;10021;3;13;49;10;9;7;13;89;27;6;11;7;0;147;288;67;49;31;6;5;14;0;5;73;35;3;.;7;3;18;19;.;6;3;8;14;12;3;0;0;.;5;16;0;12;11;0;13;17;4;8;8;.;18;11;0;.;26;12;10;15;3;3;0
22;10022;5;6;23;20;8;12;13;34;12;9;15;8;0;57;76;348;36;18;7;17;19;3;4;146;79;10;9;3;.;34;26;11;4;10;13;23;9;.;.;.;.;.;4;3;.;7;.;13;39;5;6;6;.;6;4;0;3;16;13;11;21;0;3;0
23;10023;0;3;9;12;4;8;.;40;19;8;8;5;.;22;38;23;184;61;8;5;31;0;.;19;31;4;.;7;.;6;4;5;6;.;0;8;3;0;.;0;3;3;4;0;.;3;0;.;5;5;8;0;.;9;5;0;.;12;13;.;18;0;3;0
24;10024;3;.;15;12;11;3;7;32;34;9;24;11;0;34;27;36;88;432;48;19;51;4;18;39;28;5;.;3;4;17;7;3;16;.;4;6;9;.;0;0;.;6;10;.;18;5;0;6;28;3;12;6;0;4;7;.;4;15;6;11;16;0;5;0
25;10025;.;0;.;5;.;.;3;4;0;0;4;.;.;.;6;.;8;56;55;3;12;0;5;5;7;.;0;0;.;.;3;0;.;.;.;.;0;0;3;0;0;.;0;0;0;0;0;.;5;.;0;0;0;.;3;0;0;.;3;0;3;0;0;0
26;10026;.;.;.;4;3;6;5;.;0;.;.;3;0;8;11;27;9;12;.;67;20;7;3;13;19;7;0;5;8;4;3;0;4;0;4;3;.;0;0;0;0;0;.;0;0;0;0;0;.;0;.;0;.;4;.;0;.;11;11;0;.;0;0;0
27;10027;0;.;5;.;3;4;5;8;6;3;3;.;0;6;6;.;21;45;12;13;283;7;15;12;22;3;0;.;7;9;.;.;.;6;5;5;.;0;.;.;0;0;.;.;0;.;0;.;7;.;3;0;0;4;.;0;.;7;9;0;6;4;.;0
28;10028;.;0;.;.;0;.;4;.;.;0;0;0;0;.;.;.;0;0;0;8;7;20;.;5;.;0;0;.;3;0;.;.;0;0;0;0;.;0;0;0;0;0;0;0;0;0;0;0;.;0;.;0;0;3;0;.;0;0;0;0;0;.;0;0
29;10029;.;0;0;.;.;4;4;.;0;0;.;.;0;.;3;.;3;4;5;0;19;.;29;4;6;.;.;4;3;0;.;0;0;3;0;.;0;.;.;0;.;0;0;0;0;0;0;0;.;0;.;0;0;0;0;0;0;.;.;3;.;0;0;0
30;10030;4;38;90;53;25;34;50;52;57;9;21;28;0;115;103;130;30;60;.;34;11;7;5;723;150;11;8;11;16;134;47;8;15;5;47;38;17;9;7;4;4;9;13;.;15;4;0;27;41;22;15;.;.;26;5;.;8;47;40;11;23;5;24;0
31;10031;4;8;26;16;14;17;13;44;8;6;13;.;5;40;23;49;12;28;.;29;27;0;6;136;539;68;8;21;47;36;29;17;12;18;10;21;20;3;0;5;0;.;12;5;11;.;0;10;16;3;4;4;4;4;10;.;.;21;22;.;13;0;4;0
32;10032;.;7;7;5;3;.;4;3;.;.;.;0;0;5;3;4;4;4;.;.;10;5;.;18;43;115;10;12;14;16;8;6;14;8;.;.;0;0;0;0;.;0;.;0;.;.;.;0;.;0;3;0;0;3;3;0;0;4;3;.;3;0;.;0
33;10033;0;.;0;.;.;3;.;3;.;0;.;.;0;.;8;3;0;3;0;.;0;0;0;8;13;28;21;16;.;7;3;.;6;.;0;7;.;.;0;0;.;0;.;.;4;.;0;.;.;3;.;.;0;4;0;0;0;3;3;0;3;0;0;0
34;10034;0;.;5;.;0;.;0;.;.;0;.;0;0;0;0;5;.;0;0;.;3;0;.;14;14;14;16;142;14;7;.;0;7;3;.;.;.;.;.;0;.;.;3;0;0;0;0;0;5;.;.;10;0;0;0;0;0;.;0;0;.;0;0;0
35;10035;.;.;5;4;7;.;.;.;.;0;.;0;.;.;.;.;.;5;3;8;10;12;0;20;33;8;4;19;102;10;8;0;8;0;6;0;0;.;0;.;0;0;.;0;0;.;0;4;7;3;3;.;0;.;0;0;0;.;6;0;0;0;0;0
40;10040;9;31;92;268;68;48;36;18;3;12;9;.;4;49;23;18;13;12;5;10;8;3;0;127;77;27;.;7;6;912;365;49;45;44;104;106;45;7;5;.;.;3;14;8;8;6;.;60;75;12;23;6;3;15;19;0;.;47;23;10;20;.;3;0
41;10041;4;6;32;55;25;23;25;10;.;3;.;.;0;28;11;11;.;9;.;.;6;.;4;64;54;29;9;6;9;292;764;46;82;44;34;55;23;6;.;6;.;.;8;.;13;.;4;21;36;.;7;7;.;12;9;4;3;31;11;4;8;0;5;0
42;10042;.;.;14;5;8;5;4;3;0;.;.;.;0;4;.;5;0;.;0;.;0;0;0;26;29;23;0;0;.;25;22;96;61;8;4;.;6;.;.;0;0;0;.;0;4;0;0;.;.;.;0;0;0;3;.;0;0;.;4;0;7;.;0;0
43;10043;4;11;85;16;7;7;13;12;6;4;8;5;0;20;10;11;10;7;.;0;.;0;0;39;33;19;9;13;.;46;46;48;326;50;4;6;3;3;8;0;0;.;15;3;5;0;0;3;12;6;5;3;4;7;4;0;5;8;8;.;12;0;.;0
44;10044;.;0;6;3;8;.;0;.;.;0;.;0;0;4;3;4;0;33;.;4;.;0;0;9;9;23;6;12;0;19;18;4;41;91;.;3;7;.;3;.;0;0;7;.;.;0;0;0;.;4;4;.;0;4;.;0;.;5;3;0;5;0;0;0
50;10050;3;8;15;36;25;27;12;4;.;8;.;0;.;21;5;3;.;.;0;5;.;.;0;32;20;3;5;0;.;82;37;3;10;9;396;198;84;27;21;6;.;3;10;17;7;0;0;69;62;16;21;7;8;0;5;3;0;24;19;.;8;0;13;0
51;10051;6;9;16;30;30;22;6;6;7;3;4;0;.;16;26;16;10;5;.;0;5;0;.;34;29;.;3;12;11;59;36;.;3;5;129;393;125;27;21;.;9;12;18;.;44;11;4;123;142;46;29;11;0;18;7;.;.;32;30;5;16;0;6;0
52;10052;.;.;11;.;15;9;6;12;.;4;8;.;0;7;8;13;.;5;0;0;.;0;0;17;10;3;.;6;5;18;20;.;10;6;32;102;275;67;19;0;5;26;70;10;66;13;0;28;54;32;20;13;0;15;11;.;5;9;14;.;5;0;0;0
53;10053;.;3;5;.;4;4;5;.;.;3;.;5;0;4;.;3;.;4;0;.;0;.;0;10;.;4;0;3;.;7;8;.;3;0;12;20;54;242;34;6;.;5;21;0;50;19;.;13;7;8;5;7;.;13;8;.;4;5;4;.;.;0;.;0
54;10054;0;.;.;.;4;3;0;.;.;0;0;0;.;.;.;.;.;.;0;0;0;0;0;4;.;.;.;0;0;9;3;0;0;.;.;29;16;45;93;16;0;.;.;4;4;7;0;.;4;5;3;0;.;.;0;0;0;3;5;0;0;0;.;0
55;10055;0;.;0;0;.;0;0;0;.;0;0;0;0;0;0;.;.;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;.;0;0;.;.;9;11;.;0;0;0;0;0;.;0;0;.;0;.;0;0;0;0;0;0;.;0;.;0;0;0;0
60;10060;0;3;5;.;3;3;.;3;3;.;4;.;0;6;11;.;4;5;.;0;.;0;.;4;5;.;0;0;3;6;.;.;5;.;3;10;.;8;0;0;221;60;105;8;42;69;4;3;29;24;3;5;6;8;10;0;4;5;4;0;8;.;0;0
61;10061;.;.;24;.;15;3;4;6;.;.;0;3;0;7;5;.;3;14;3;0;4;0;0;12;3;.;.;.;.;5;5;.;10;4;0;13;19;15;.;.;28;117;43;12;35;27;.;5;7;27;4;3;.;3;7;3;.;6;5;7;4;0;.;0
62;10062;.;6;55;3;16;3;4;13;0;.;8;0;0;7;10;.;6;6;.;.;.;0;0;14;16;6;.;3;.;10;10;0;8;4;4;22;21;13;.;.;32;42;348;26;74;79;.;10;42;17;12;3;3;19;10;0;0;10;16;5;7;.;.;0
63;10063;0;0;4;6;3;0;0;4;0;0;.;0;0;0;0;0;0;0;0;.;0;0;0;.;.;3;.;0;0;3;5;0;.;.;0;6;17;11;.;0;0;6;7;19;11;8;0;3;7;.;.;3;0;.;0;0;.;5;.;0;0;0;.;0
